CarGm,Date,Season,Season_type,Week,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2017-09-10,2017,REG,1,0,8,9,0,3,3,15,0,22,36.1,0,0.0
2,2017-09-14,2017,REG,2,0,9,36,0,1,1,5,0,16,25.0,4,13.3
3,2017-09-24,2017,REG,3,0,18,62,0,3,3,39,0,34,55.7,5,15.2
4,2017-10-01,2017,REG,4,0,17,29,0,4,4,19,0,31,48.4,1,4.0
5,2017-10-08,2017,REG,5,0,15,51,1,0,0,0,0,36,54.5,5,17.2
0,1970-01-01,2017,DNP,6,0,0,0,0,0,0,0,0,0,0.0,0,0.0
6,2017-10-22,2017,REG,7,0,7,48,0,3,3,20,0,22,43.1,0,0.0
7,2017-10-29,2017,REG,8,0,11,18,0,3,3,91,0,35,62.5,0,0.0
8,2017-11-05,2017,REG,9,1,13,31,1,4,3,15,0,28,71.8,0,0.0
9,2017-11-12,2017,REG,10,1,9,37,1,3,1,3,0,31,60.8,0,0.0
10,2017-11-19,2017,REG,11,1,20,49,0,2,2,0,0,35,63.6,0,0.0
11,2017-11-26,2017,REG,12,1,23,114,1,3,3,51,0,46,75.4,0,0.0
12,2017-12-04,2017,REG,13,1,7,34,0,1,1,8,0,17,26.6,0,0.0
0,1970-01-01,2017,DNP,14,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2017,DNP,15,0,0,0,0,0,0,0,0,0,0.0,0,0.0
13,2017-12-24,2017,REG,16,1,3,12,0,3,2,20,0,6,7.1,0,0.0
14,2017-12-31,2017,REG,17,1,18,96,0,1,1,1,0,25,31.6,0,0.0
15,2018-09-09,2018,REG,1,1,17,95,1,7,5,54,0,44,78.6,0,0.0
16,2018-09-13,2018,REG,2,1,21,84,0,1,1,3,0,39,51.3,0,0.0
0,1970-01-01,2018,DNP,3,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2018,DNP,4,0,0,0,0,0,0,0,0,0,0.0,0,0.0
17,2018-10-07,2018,REG,5,1,22,93,0,4,3,22,1,47,78.3,0,0.0
18,2018-10-14,2018,REG,6,1,11,64,1,7,4,20,0,42,68.9,0,0.0
19,2018-10-21,2018,REG,7,1,13,50,0,5,3,1,0,44,77.2,0,0.0
20,2018-10-28,2018,REG,8,1,21,123,2,4,3,15,0,55,83.3,0,0.0
0,1970-01-01,2018,DNP,9,0,0,0,0,0,0,0,0,0,0.0,0,0.0
