CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
51,2023-11-26,2023,REG,12,IND,0,8,55,0,3,2,15,0,30,0
52,2023-12-03,2023,REG,13,IND,1,19,51,0,3,2,6,0,67,0
53,2023-12-10,2023,REG,14,IND,1,13,28,0,8,4,28,0,54,0
54,2023-12-16,2023,REG,15,IND,1,4,13,0,3,3,20,1,19,0
0,1970-01-01,2023,DNP,16,IND,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2023,DNP,17,IND,0,0,0,0,0,0,0,0,0,0
55,2024-01-06,2023,REG,18,IND,0,6,30,0,0,0,0,0,11,0
56,2024-09-08,2024,REG,1,CIN,1,9,44,1,4,2,17,0,33,0
57,2024-09-15,2024,REG,2,CIN,1,12,34,0,1,1,13,0,51,0
58,2024-09-23,2024,REG,3,CIN,1,12,58,1,6,5,39,0,47,0
59,2024-09-29,2024,REG,4,CIN,1,15,51,0,4,4,27,1,40,0
60,2024-10-06,2024,REG,5,CIN,1,9,24,0,4,3,28,0,45,0
61,2024-10-13,2024,REG,6,CIN,0,6,13,0,1,1,2,0,24,0
62,2024-10-20,2024,REG,7,CIN,0,6,7,0,3,3,33,0,27,0
63,2024-10-27,2024,REG,8,CIN,1,5,11,0,4,4,28,0,30,0
0,1970-01-01,2024,DNP,9,CIN,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2024,DNP,10,CIN,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2024,DNP,11,CIN,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2024,BYE,12,CIN,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2024,DNP,13,CIN,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2024,DNP,14,CIN,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2024,DNP,15,CIN,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2024,DNP,16,CIN,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2024,DNP,17,CIN,0,0,0,0,0,0,0,0,0,0
0,1970-01-01,2024,DNP,18,CIN,0,0,0,0,0,0,0,0,0,0
