CarGm,Date,Season,Season_type,Week,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2021-09-12,2021,REG,1,1,16,45,0,3,1,4,0,58,100.0,0,0.0
2,2021-09-19,2021,REG,2,1,10,38,0,5,5,43,1,53,94.6,0,0.0
3,2021-09-26,2021,REG,3,1,14,40,0,19,14,102,0,79,95.2,0,0.0
4,2021-10-03,2021,REG,4,1,15,62,1,7,6,29,0,48,80.0,0,0.0
5,2021-10-10,2021,REG,5,1,23,122,1,5,2,20,0,42,64.6,0,0.0
6,2021-10-17,2021,REG,6,1,24,81,0,7,6,46,1,63,84.0,0,0.0
0,1970-01-01,2021,DNP,7,0,0,0,0,0,0,0,0,0,0.0,0,0.0
7,2021-10-31,2021,REG,8,1,26,91,1,3,3,29,0,62,83.8,0,0.0
8,2021-11-08,2021,REG,9,1,22,62,1,3,3,16,0,59,81.9,0,0.0
9,2021-11-14,2021,REG,10,1,26,105,0,4,4,28,0,76,87.4,0,0.0
10,2021-11-21,2021,REG,11,1,12,39,1,6,5,20,0,52,75.4,0,0.0
11,2021-11-28,2021,REG,12,1,8,23,0,5,3,14,0,36,58.1,0,0.0
12,2021-12-05,2021,REG,13,1,21,71,0,5,5,36,0,58,96.7,0,0.0
13,2021-12-09,2021,REG,14,1,20,94,1,3,3,10,1,71,95.9,0,0.0
14,2021-12-19,2021,REG,15,1,12,18,0,5,2,8,0,49,100.0,0,0.0
15,2021-12-26,2021,REG,16,1,19,93,0,7,5,17,0,56,77.8,0,0.0
16,2022-01-03,2021,REG,17,1,28,188,1,3,3,18,0,78,96.3,0,0.0
17,2022-01-09,2021,REG,18,1,11,28,0,4,4,27,0,40,52.6,0,0.0
18,2022-01-16,2021,POST,19,1,12,29,0,2,2,-1,0,30,44.1,0,0.0
19,2022-09-11,2022,REG,1,1,10,23,0,2,2,3,1,37,58.7,0,0.0
20,2022-09-18,2022,REG,2,1,15,49,0,6,5,40,0,42,71.2,0,0.0
21,2022-09-22,2022,REG,3,1,15,56,1,3,3,5,0,47,79.7,0,0.0
22,2022-10-02,2022,REG,4,1,18,74,0,0,0,0,0,48,75.0,0,0.0
23,2022-10-09,2022,REG,5,1,11,20,0,4,3,16,0,37,49.3,0,0.0
24,2022-10-16,2022,REG,6,1,14,42,0,3,2,7,1,44,68.8,0,0.0
25,2022-10-23,2022,REG,7,1,17,65,0,4,3,15,0,58,77.3,0,0.0
26,2022-10-30,2022,REG,8,1,8,32,0,6,6,26,0,54,71.1,0,0.0
0,1970-01-01,2022,DNP,9,0,0,0,0,0,0,0,0,0,0.0,0,0.0
27,2022-11-13,2022,REG,10,1,20,99,0,1,0,0,0,50,59.5,0,0.0
28,2022-11-20,2022,REG,11,1,20,90,2,6,4,26,0,67,91.8,0,0.0
29,2022-11-28,2022,REG,12,1,10,35,1,1,1,4,0,20,29.0,0,0.0
30,2022-12-04,2022,REG,13,1,17,86,0,1,1,6,0,43,66.2,0,0.0
31,2022-12-11,2022,REG,14,1,12,33,1,3,2,17,0,31,56.4,0,0.0
32,2022-12-18,2022,REG,15,1,24,86,1,0,0,0,0,45,66.2,1,4.0
33,2022-12-24,2022,REG,16,1,16,53,0,9,6,42,0,49,72.1,0,0.0
34,2023-01-01,2022,REG,17,1,22,111,0,3,2,12,1,45,64.3,0,0.0
35,2023-01-08,2022,REG,18,1,23,80,1,1,1,10,0,46,63.0,0,0.0
36,2023-09-10,2023,REG,1,1,6,31,0,2,2,2,0,33,52.4,0,0.0
37,2023-09-18,2023,REG,2,1,10,43,0,3,1,0,0,31,57.4,0,0.0
38,2023-09-24,2023,REG,3,1,19,65,0,1,0,0,0,31,50.0,1,3.4
39,2023-10-01,2023,REG,4,1,14,71,0,2,1,32,0,29,49.2,0,0.0
40,2023-10-08,2023,REG,5,1,14,37,0,1,1,3,0,37,56.1,0,0.0
0,1970-01-01,2023,DNP,6,0,0,0,0,0,0,0,0,0,0.0,0,0.0
41,2023-10-22,2023,REG,7,1,14,53,1,3,3,15,0,34,57.6,0,0.0
42,2023-10-29,2023,REG,8,1,7,13,0,5,5,42,0,35,52.2,0,0.0
43,2023-11-02,2023,REG,9,1,16,69,1,4,2,7,0,38,58.5,0,0.0
