CarGm,Date,Season,Season_type,Week,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2020-09-10,2020,REG,1,1,25,138,1,2,0,0,0,46,66.7,0,0.0
2,2020-09-20,2020,REG,2,1,10,38,0,8,6,32,0,48,62.3,0,0.0
3,2020-09-28,2020,REG,3,1,20,64,0,6,5,70,0,52,69.3,0,0.0
4,2020-10-05,2020,REG,4,1,16,64,0,3,3,27,0,41,73.2,0,0.0
5,2020-10-11,2020,REG,5,1,10,40,0,8,3,40,0,43,59.7,0,0.0
6,2020-10-19,2020,REG,6,1,26,161,0,4,4,8,0,49,67.1,0,0.0
7,2020-10-25,2020,REG,7,1,8,46,1,4,1,17,0,27,52.9,0,0.0
8,2020-11-01,2020,REG,8,1,6,21,0,3,3,10,0,33,50.0,0,0.0
9,2020-11-08,2020,REG,9,1,5,14,0,5,3,20,1,25,40.3,0,0.0
0,1970-01-01,2020,DNP,10,0,0,0,0,0,0,0,0,0,0.0,0,0.0
10,2020-11-22,2020,REG,11,1,14,69,2,2,1,8,0,40,51.3,0,0.0
11,2020-11-29,2020,REG,12,1,11,37,0,1,1,2,0,47,59.5,0,0.0
0,1970-01-01,2020,DNP,13,0,0,0,0,0,0,0,0,0,0.0,0,0.0
12,2020-12-13,2020,REG,14,1,16,32,0,6,5,59,0,46,74.2,0,0.0
13,2020-12-20,2020,REG,15,1,14,79,0,2,1,4,0,45,45.9,0,0.0
0,1970-01-01,2020,DNP,16,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2020,DNP,17,0,0,0,0,0,0,0,0,0,0.0,0,0.0
14,2021-01-24,2020,POST,20,1,6,7,1,2,1,0,0,32,49.2,0,0.0
15,2021-02-07,2020,POST,21,1,9,64,0,3,2,23,0,34,45.3,0,0.0
16,2021-09-12,2021,REG,1,1,14,43,0,3,3,29,0,47,72.3,0,0.0
17,2021-09-19,2021,REG,2,1,13,46,0,0,0,0,0,33,64.7,0,0.0
18,2021-09-26,2021,REG,3,1,17,100,0,2,2,9,1,49,62.0,0,0.0
19,2021-10-03,2021,REG,4,1,14,102,0,3,2,12,1,35,52.2,0,0.0
20,2021-10-10,2021,REG,5,1,7,13,0,2,1,11,0,22,25.6,0,0.0
