CarGm,Date,Season,Season_type,Week,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2024-09-09,2024,REG,1,0,0,0,0,0,0,0,0,3,4.2,10,38.5
2,2024-09-15,2024,REG,2,0,1,0,0,0,0,0,0,1,1.4,3,13.0
3,2024-09-22,2024,REG,3,0,5,19,0,0,0,0,0,10,14.1,11,40.7
4,2024-09-29,2024,REG,4,0,1,0,0,0,0,0,0,5,7.9,12,46.2
5,2024-10-06,2024,REG,5,0,5,22,0,0,0,0,0,9,14.1,14,58.3
6,2024-10-10,2024,REG,6,0,10,99,0,0,0,0,0,17,26.2,10,33.3
7,2024-10-20,2024,REG,7,0,1,2,0,1,1,5,0,5,7.9,13,54.2
8,2024-10-27,2024,REG,8,0,14,85,1,4,3,17,0,43,63.2,13,43.3
0,1970-01-01,2024,DNP,9,0,0,0,0,0,0,0,0,0,0.0,0,0.0
9,2024-11-10,2024,REG,10,0,1,0,0,0,0,0,0,3,4.7,16,55.2
10,2024-11-17,2024,REG,11,0,0,0,0,0,0,0,0,2,3.2,8,38.1
11,2024-11-24,2024,REG,12,0,0,0,0,0,0,0,0,0,0.0,7,28.0
12,2024-12-01,2024,REG,13,0,4,19,1,1,1,-3,0,11,22.9,7,28.0
13,2024-12-08,2024,REG,14,1,15,78,2,2,2,50,0,34,55.7,0,0.0
14,2024-12-12,2024,REG,15,1,16,57,0,4,4,18,0,41,75.9,0,0.0
0,1970-01-01,2024,DNP,16,0,0,0,0,0,0,0,0,0,0.0,0,0.0
15,2024-12-30,2024,REG,17,0,9,34,0,4,4,65,0,39,60.9,0,0.0
16,2025-01-05,2024,REG,18,1,2,5,0,0,0,0,0,4,5.3,0,0.0
