Team,Season,Week,Date,Opp
St. Louis Cardinals,1978,1,1978-09-03,Chicago Bears
St. Louis Cardinals,1978,2,1978-09-10,New England Patriots
St. Louis Cardinals,1978,3,1978-09-17,Washington Redskins
St. Louis Cardinals,1978,4,1978-09-24,Dallas Cowboys
St. Louis Cardinals,1978,5,1978-10-01,Miami Dolphins
St. Louis Cardinals,1978,6,1978-10-08,Baltimore Colts
St. Louis Cardinals,1978,7,1978-10-15,Dallas Cowboys
St. Louis Cardinals,1978,8,1978-10-22,New York Jets
St. Louis Cardinals,1978,9,1978-10-29,Philadelphia Eagles
St. Louis Cardinals,1978,10,1978-11-05,New York Giants
St. Louis Cardinals,1978,11,1978-11-12,San Francisco 49ers
St. Louis Cardinals,1978,12,1978-11-19,Washington Redskins
St. Louis Cardinals,1978,13,1978-11-26,Philadelphia Eagles
St. Louis Cardinals,1978,14,1978-12-03,Detroit Lions
St. Louis Cardinals,1978,15,1978-12-10,New York Giants
St. Louis Cardinals,1978,16,1978-12-17,Atlanta Falcons
St. Louis Cardinals,1979,1,1979-09-02,Dallas Cowboys
St. Louis Cardinals,1979,2,1979-09-09,New York Giants
St. Louis Cardinals,1979,3,1979-09-16,Pittsburgh Steelers
St. Louis Cardinals,1979,4,1979-09-23,Washington Redskins
St. Louis Cardinals,1979,5,1979-09-30,Los Angeles Rams
St. Louis Cardinals,1979,6,1979-10-07,Houston Oilers
St. Louis Cardinals,1979,7,1979-10-14,Philadelphia Eagles
St. Louis Cardinals,1979,8,1979-10-21,Dallas Cowboys
St. Louis Cardinals,1979,9,1979-10-28,Cleveland Browns
St. Louis Cardinals,1979,10,1979-11-04,Minnesota Vikings
St. Louis Cardinals,1979,11,1979-11-11,Washington Redskins
St. Louis Cardinals,1979,12,1979-11-18,Philadelphia Eagles
St. Louis Cardinals,1979,13,1979-11-25,Cincinnati Bengals
St. Louis Cardinals,1979,14,1979-12-02,San Francisco 49ers
St. Louis Cardinals,1979,15,1979-12-09,New York Giants
St. Louis Cardinals,1979,16,1979-12-16,Chicago Bears
St. Louis Cardinals,1980,1,1980-09-07,New York Giants
St. Louis Cardinals,1980,2,1980-09-14,San Francisco 49ers
St. Louis Cardinals,1980,3,1980-09-21,Detroit Lions
St. Louis Cardinals,1980,4,1980-09-28,Philadelphia Eagles
St. Louis Cardinals,1980,5,1980-10-05,New Orleans Saints
St. Louis Cardinals,1980,6,1980-10-12,Los Angeles Rams
St. Louis Cardinals,1980,7,1980-10-19,Washington Redskins
St. Louis Cardinals,1980,8,1980-10-26,Baltimore Colts
St. Louis Cardinals,1980,9,1980-11-02,Dallas Cowboys
St. Louis Cardinals,1980,10,1980-11-09,Atlanta Falcons
St. Louis Cardinals,1980,11,1980-11-16,Dallas Cowboys
St. Louis Cardinals,1980,12,1980-11-23,Kansas City Chiefs
St. Louis Cardinals,1980,13,1980-11-30,New York Giants
St. Louis Cardinals,1980,14,1980-12-07,Detroit Lions
St. Louis Cardinals,1980,15,1980-12-14,Philadelphia Eagles
St. Louis Cardinals,1980,16,1980-12-21,Washington Redskins
St. Louis Cardinals,1981,1,1981-09-06,Miami Dolphins
St. Louis Cardinals,1981,2,1981-09-13,Dallas Cowboys
St. Louis Cardinals,1981,3,1981-09-20,Washington Redskins
St. Louis Cardinals,1981,4,1981-09-27,Tampa Bay Buccaneers
St. Louis Cardinals,1981,5,1981-10-04,Dallas Cowboys
St. Louis Cardinals,1981,6,1981-10-11,New York Giants
St. Louis Cardinals,1981,7,1981-10-18,Atlanta Falcons
St. Louis Cardinals,1981,8,1981-10-25,Minnesota Vikings
St. Louis Cardinals,1981,9,1981-11-01,Washington Redskins
St. Louis Cardinals,1981,10,1981-11-08,Philadelphia Eagles
St. Louis Cardinals,1981,11,1981-11-15,Buffalo Bills
St. Louis Cardinals,1981,12,1981-11-22,Baltimore Colts
St. Louis Cardinals,1981,13,1981-11-29,New England Patriots
St. Louis Cardinals,1981,14,1981-12-06,New Orleans Saints
St. Louis Cardinals,1981,15,1981-12-13,New York Giants
St. Louis Cardinals,1981,16,1981-12-20,Philadelphia Eagles
St. Louis Cardinals,1982,1,1982-09-12,New Orleans Saints
St. Louis Cardinals,1982,2,1982-09-19,Dallas Cowboys
St. Louis Cardinals,1982,11,1982-11-21,San Francisco 49ers
St. Louis Cardinals,1982,12,1982-11-28,Atlanta Falcons
St. Louis Cardinals,1982,13,1982-12-05,Philadelphia Eagles
St. Louis Cardinals,1982,14,1982-12-12,Washington Redskins
St. Louis Cardinals,1982,15,1982-12-19,Chicago Bears
St. Louis Cardinals,1982,16,1982-12-26,New York Giants
St. Louis Cardinals,1982,17,1983-01-02,Washington Redskins
St. Louis Cardinals,1982,18,1983-01-08,Green Bay Packers
St. Louis Cardinals,1983,1,1983-09-04,New Orleans Saints
St. Louis Cardinals,1983,2,1983-09-11,Dallas Cowboys
St. Louis Cardinals,1983,3,1983-09-18,San Francisco 49ers
St. Louis Cardinals,1983,4,1983-09-25,Philadelphia Eagles
St. Louis Cardinals,1983,5,1983-10-02,Kansas City Chiefs
St. Louis Cardinals,1983,6,1983-10-09,Washington Redskins
St. Louis Cardinals,1983,7,1983-10-16,Tampa Bay Buccaneers
St. Louis Cardinals,1983,8,1983-10-24,New York Giants
St. Louis Cardinals,1983,9,1983-10-30,Minnesota Vikings
St. Louis Cardinals,1983,10,1983-11-06,Washington Redskins
St. Louis Cardinals,1983,11,1983-11-13,Seattle Seahawks
