CarGm,Date,Season,Season_type,Week,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2017-09-11,2017,REG,1,0,0,0,0,2,2,18,0,3,5.2,17,65.4
2,2017-09-17,2017,REG,2,0,0,0,0,0,0,0,0,0,0.0,17,63.0
3,2017-09-24,2017,REG,3,0,0,0,0,1,1,6,0,6,8.2,19,73.1
4,2017-10-01,2017,REG,4,0,1,35,1,2,2,23,0,3,5.3,17,63.0
5,2017-10-08,2017,REG,5,0,4,0,0,6,3,28,0,12,15.4,16,50.0
6,2017-10-15,2017,REG,6,0,1,1,0,2,1,8,0,7,10.8,11,50.0
7,2017-10-22,2017,REG,7,0,7,38,0,4,4,6,1,18,31.0,13,54.2
8,2017-10-29,2017,REG,8,0,2,8,0,1,1,13,0,17,30.4,14,50.0
0,1970-01-01,2017,DNP,9,0,0,0,0,0,0,0,0,0,0.0,0,0.0
9,2017-11-12,2017,REG,10,0,10,42,0,5,5,77,2,23,33.3,16,44.4
10,2017-11-19,2017,REG,11,0,6,40,1,2,2,18,0,32,43.2,14,40.0
11,2017-11-23,2017,REG,12,0,6,15,0,3,3,55,0,26,38.2,11,57.9
12,2017-12-03,2017,REG,13,0,4,19,0,3,2,21,0,20,28.6,7,33.3
13,2017-12-10,2017,REG,14,0,4,49,0,3,0,0,0,18,25.0,21,67.7
14,2017-12-16,2017,REG,15,0,2,13,0,1,1,6,0,10,15.6,6,24.0
15,2017-12-24,2017,REG,16,0,0,0,0,0,0,0,0,0,0.0,4,14.3
16,2017-12-31,2017,REG,17,0,0,0,0,0,0,0,0,0,0.0,6,27.3
17,2018-09-09,2018,REG,1,0,5,39,0,5,5,87,1,22,26.8,20,66.7
18,2018-09-16,2018,REG,2,0,11,77,0,3,3,21,0,23,41.1,13,43.3
19,2018-09-23,2018,REG,3,0,4,47,0,3,3,24,0,18,34.6,15,60.0
20,2018-09-30,2018,REG,4,0,8,25,0,3,2,31,1,23,33.8,21,65.6
21,2018-10-07,2018,REG,5,0,6,15,0,3,1,44,1,23,35.9,16,64.0
22,2018-10-14,2018,REG,6,0,7,60,0,0,0,0,0,21,35.0,21,72.4
23,2018-10-21,2018,REG,7,1,12,42,0,7,5,26,0,42,95.5,1,4.3
0,1970-01-01,2018,DNP,8,0,0,0,0,0,0,0,0,0,0.0,0,0.0
24,2018-11-04,2018,REG,9,0,3,21,0,2,1,13,0,9,17.6,20,71.4
25,2018-11-11,2018,REG,10,0,3,19,0,0,0,0,0,20,35.7,16,72.7
26,2018-11-18,2018,REG,11,0,6,29,0,2,2,40,0,18,23.4,18,69.2
27,2018-11-25,2018,REG,12,0,5,35,1,11,10,68,0,26,37.7,2,7.1
28,2018-12-02,2018,REG,13,1,13,21,0,8,5,22,0,49,77.8,0,0.0
29,2018-12-09,2018,REG,14,1,15,66,1,5,2,28,0,39,68.4,1,3.4
0,1970-01-01,2018,DNP,15,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2018,DNP,16,0,0,0,0,0,0,0,0,0,0.0,0,0.0
30,2018-12-30,2018,REG,17,0,8,58,1,1,0,0,0,15,25.4,10,43.5
31,2019-01-06,2018,POST,18,0,11,29,0,4,4,14,0,39,53.4,4,12.5
32,2019-01-13,2018,POST,19,0,0,0,0,5,3,19,0,25,35.2,19,55.9
33,2019-09-08,2019,REG,1,1,12,58,1,7,6,96,2,47,74.6,0,0.0
34,2019-09-15,2019,REG,2,1,17,66,1,6,6,67,0,48,73.8,0,0.0
35,2019-09-22,2019,REG,3,1,9,36,0,7,7,45,0,48,64.9,0,0.0
36,2019-09-29,2019,REG,4,1,18,60,1,5,5,62,1,48,71.6,0,0.0
37,2019-10-06,2019,REG,5,1,3,7,0,16,15,86,0,46,65.7,0,0.0
38,2019-10-13,2019,REG,6,0,5,14,0,4,3,14,0,28,45.2,0,0.0
39,2019-10-20,2019,REG,7,0,5,7,0,8,7,118,1,37,58.7,1,4.3
40,2019-10-27,2019,REG,8,0,3,3,0,3,2,19,1,24,53.3,0,0.0
41,2019-11-03,2019,REG,9,0,12,70,0,4,4,23,0,24,33.8,2,8.0
42,2019-11-07,2019,REG,10,1,6,19,0,2,2,29,1,34,45.3,0,0.0
43,2019-11-18,2019,REG,11,0,5,24,0,12,8,108,0,46,58.2,0,0.0
0,1970-01-01,2019,DNP,12,0,0,0,0,0,0,0,0,0,0.0,0,0.0
44,2019-12-01,2019,REG,13,0,9,16,0,5,4,51,1,32,51.6,0,0.0
45,2019-12-08,2019,REG,14,1,8,101,0,5,4,112,1,29,48.3,0,0.0
46,2019-12-15,2019,REG,15,0,7,19,0,7,5,62,0,30,48.4,0,0.0
47,2019-12-22,2019,REG,16,1,4,11,0,6,5,58,0,33,54.1,1,3.7
48,2019-12-29,2019,REG,17,0,9,46,0,11,9,43,0,45,58.4,0,0.0
49,2020-09-13,2020,REG,1,1,19,84,0,1,1,3,0,50,67.6,0,0.0
50,2020-09-20,2020,REG,2,1,16,93,0,4,4,55,0,47,56.6,0,0.0
51,2020-09-27,2020,REG,3,1,12,59,1,11,11,84,0,56,71.8,0,0.0
52,2020-10-04,2020,REG,4,1,2,12,0,1,1,2,0,3,5.7,0,0.0
0,1970-01-01,2020,DNP,5,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2020,DNP,6,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2020,DNP,7,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2020,DNP,8,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2020,DNP,9,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2020,DNP,10,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,1970-01-01,2020,DNP,11,0,0,0,0,0,0,0,0,0,0.0,0,0.0
53,2020-11-29,2020,REG,12,1,14,44,0,16,11,85,0,60,72.3,0,0.0
54,2020-12-06,2020,REG,13,1,8,36,0,9,4,32,0,43,59.7,0,0.0
55,2020-12-13,2020,REG,14,1,15,79,0,9,9,67,0,44,60.3,0,0.0
56,2020-12-17,2020,REG,15,1,13,60,0,4,4,19,0,41,62.1,0,0.0
57,2020-12-27,2020,REG,16,1,10,45,0,3,3,23,1,37,64.9,0,0.0
58,2021-01-03,2020,REG,17,1,7,18,0,7,6,33,1,31,43.1,0,0.0
59,2021-09-12,2021,REG,1,1,15,57,1,0,0,0,0,47,58.0,0,0.0
60,2021-09-19,2021,REG,2,1,9,54,0,9,9,61,0,45,63.4,0,0.0
61,2021-09-26,2021,REG,3,1,11,55,0,6,6,52,1,49,74.2,0,0.0
62,2021-10-04,2021,REG,4,1,15,117,1,5,3,28,1,45,60.0,0,0.0
63,2021-10-10,2021,REG,5,1,17,66,2,5,5,53,1,53,70.7,0,0.0
64,2021-10-17,2021,REG,6,1,6,7,0,7,4,48,0,34,60.7,0,0.0
0,1970-01-01,2021,DNP,7,0,0,0,0,0,0,0,0,0,0.0,0,0.0
65,2021-10-31,2021,REG,8,1,11,64,1,10,6,60,0,45,75.0,0,0.0
66,2021-11-07,2021,REG,9,1,17,59,0,3,3,23,0,46,66.7,0,0.0
67,2021-11-14,2021,REG,10,1,11,44,0,6,3,15,1,42,71.2,0,0.0
68,2021-11-21,2021,REG,11,1,11,50,2,7,6,65,2,53,69.7,0,0.0
69,2021-11-28,2021,REG,12,1,12,31,0,8,6,68,1,48,67.6,0,0.0
70,2021-12-05,2021,REG,13,1,14,59,1,5,5,45,0,47,73.4,0,0.0
71,2021-12-12,2021,REG,14,1,12,67,1,4,2,17,0,33,46.5,0,0.0
72,2021-12-16,2021,REG,15,1,12,59,1,4,4,23,0,27,33.8,0,0.0
0,1970-01-01,2021,DNP,16,0,0,0,0,0,0,0,0,0,0.0,0,0.0
73,2022-01-02,2021,REG,17,1,17,58,1,3,3,54,0,39,58.2,0,0.0
