CarGm,Date,Season,Season_type,Week,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2024-09-09,2024,REG,1,0,0,0,0,0,0,0,0,0,0.0,16,61.5
2,2024-09-15,2024,REG,2,0,0,0,0,0,0,0,0,0,0.0,18,69.2
3,2024-09-19,2024,REG,3,0,3,6,0,0,0,0,0,3,4.1,14,66.7
4,2024-09-29,2024,REG,4,0,0,0,0,0,0,0,0,0,0.0,18,64.3
5,2024-10-06,2024,REG,5,0,0,0,0,0,0,0,0,0,0.0,21,72.4
6,2024-10-14,2024,REG,6,0,0,0,0,0,0,0,0,0,0.0,13,52.0
7,2024-10-20,2024,REG,7,0,1,12,0,0,0,0,0,1,1.8,18,62.1
8,2024-10-27,2024,REG,8,0,0,0,0,0,0,0,0,0,0.0,19,73.1
9,2024-10-31,2024,REG,9,0,0,0,0,0,0,0,0,0,0.0,17,65.4
10,2024-11-10,2024,REG,10,0,0,0,0,1,1,10,0,2,3.4,11,61.1
11,2024-11-17,2024,REG,11,0,0,0,0,0,0,0,0,0,0.0,21,67.7
0,1970-01-01,2024,DNP,12,0,0,0,0,0,0,0,0,0,0.0,0,0.0
12,2024-12-01,2024,REG,13,0,1,4,0,3,3,28,1,12,17.6,8,33.3
13,2024-12-08,2024,REG,14,0,10,40,1,6,3,27,0,36,52.9,11,35.5
14,2024-12-15,2024,REG,15,0,5,24,0,1,1,2,0,24,41.4,16,57.1
15,2024-12-22,2024,REG,16,0,3,12,0,0,0,0,0,10,14.5,8,50.0
16,2024-12-29,2024,REG,17,0,3,35,0,1,1,8,0,14,22.2,16,72.7
17,2025-01-05,2024,REG,18,0,4,41,0,0,0,0,0,8,12.5,18,69.2
