CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
1,2019-09-08,2019,REG,1,SEA,0,0,0,0,0,0,0,0,0,0.0,9,30.0
2,2019-09-15,2019,REG,2,SEA,0,0,0,0,0,0,0,0,0,0.0,10,33.3
3,2019-09-22,2019,REG,3,SEA,0,0,0,0,0,0,0,0,0,0.0,9,32.1
4,2019-09-29,2019,REG,4,SEA,0,0,0,0,0,0,0,0,0,0.0,14,56.0
5,2019-10-03,2019,REG,5,SEA,0,0,0,0,0,0,0,0,0,0.0,13,41.9
6,2019-10-13,2019,REG,6,SEA,0,0,0,0,0,0,0,0,0,0.0,13,50.0
7,2019-10-20,2019,REG,7,SEA,0,0,0,0,0,0,0,0,0,0.0,11,37.9
8,2019-10-27,2019,REG,8,SEA,0,0,0,0,0,0,0,0,0,0.0,12,48.0
9,2019-11-03,2019,REG,9,SEA,0,0,0,0,0,0,0,0,0,0.0,13,36.1
10,2019-11-11,2019,REG,10,SEA,0,0,0,0,0,0,0,0,0,0.0,19,54.3
0,,2019,BYE,11,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
11,2019-11-24,2019,REG,12,SEA,0,0,0,0,0,0,0,0,0,0.0,18,81.8
12,2019-12-02,2019,REG,13,SEA,0,1,29,0,0,0,0,0,0,0.0,20,60.6
13,2019-12-08,2019,REG,14,SEA,0,0,0,0,0,0,0,0,0,0.0,17,68.0
14,2019-12-15,2019,REG,15,SEA,0,2,7,0,0,0,0,0,6,9.0,18,64.3
15,2019-12-22,2019,REG,16,SEA,0,5,16,0,8,6,26,0,28,49.1,16,50.0
16,2019-12-29,2019,REG,17,SEA,1,10,62,0,5,5,30,0,50,66.7,3,13.6
17,2020-01-05,2019,POST,18,SEA,1,11,12,0,1,1,5,0,41,64.1,4,18.2
18,2020-01-12,2019,POST,19,SEA,0,3,13,0,3,2,27,0,25,39.1,8,30.8
19,2020-09-13,2020,REG,1,SEA,0,3,-1,0,2,2,4,0,13,21.0,19,65.5
20,2020-09-20,2020,REG,2,SEA,0,3,21,0,0,0,0,0,8,12.7,18,64.3
21,2020-09-27,2020,REG,3,SEA,0,2,19,0,1,0,0,0,16,21.1,23,67.6
22,2020-10-04,2020,REG,4,SEA,0,4,5,0,1,1,3,1,17,27.0,15,57.7
23,2020-10-11,2020,REG,5,SEA,0,3,14,0,0,0,0,0,23,42.6,18,72.0
0,,2020,BYE,6,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
24,2020-10-25,2020,REG,7,SEA,0,3,10,0,0,0,0,0,16,19.0,13,39.4
25,2020-11-01,2020,REG,8,SEA,0,1,4,0,0,0,0,0,7,10.3,0,0.0
26,2020-11-08,2020,REG,9,SEA,0,6,16,0,3,3,64,0,31,47.7,2,5.9
27,2020-11-15,2020,REG,10,SEA,0,0,0,0,3,3,19,0,7,10.4,8,33.3
0,,2020,DNP,11,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,12,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,13,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,14,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,15,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,16,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2020,DNP,17,SEA,0,0,0,0,0,0,0,0,0,0.0,0,0.0
28,2021-09-12,2021,REG,1,SEA,0,0,0,0,0,0,0,0,2,3.7,18,75.0
29,2021-09-19,2021,REG,2,SEA,0,0,0,0,2,2,14,0,14,25.9,23,63.9
