Team,Season,Bye Week
San Francisco 49ers,1990,4
San Francisco 49ers,1991,6
San Francisco 49ers,1992,8
San Francisco 49ers,1993,6
San Francisco 49ers,1993,10
San Francisco 49ers,1994,9
San Francisco 49ers,1995,6
San Francisco 49ers,1996,3
San Francisco 49ers,1997,6
San Francisco 49ers,1998,3
San Francisco 49ers,1999,8
San Francisco 49ers,2000,13
San Francisco 49ers,2001,6
San Francisco 49ers,2002,4
San Francisco 49ers,2003,10
San Francisco 49ers,2004,7
San Francisco 49ers,2005,6
San Francisco 49ers,2006,7
San Francisco 49ers,2007,6
San Francisco 49ers,2008,9
San Francisco 49ers,2009,6
San Francisco 49ers,2010,9
San Francisco 49ers,2011,7
San Francisco 49ers,2012,9
San Francisco 49ers,2013,9
San Francisco 49ers,2014,8
San Francisco 49ers,2015,10
San Francisco 49ers,2016,8
San Francisco 49ers,2017,11
San Francisco 49ers,2018,11
San Francisco 49ers,2019,4
San Francisco 49ers,2020,11
San Francisco 49ers,2021,6
San Francisco 49ers,2022,9
San Francisco 49ers,2023,9
San Francisco 49ers,2024,9
