Team,Season,Bye Week,PFR_ABV
San Diego Chargers,1990,14,sdg
San Diego Chargers,1991,10,sdg
San Diego Chargers,1992,6,sdg
San Diego Chargers,1993,4,sdg
San Diego Chargers,1993,8,sdg
San Diego Chargers,1994,5,sdg
San Diego Chargers,1995,9,sdg
San Diego Chargers,1996,7,sdg
San Diego Chargers,1997,7,sdg
San Diego Chargers,1998,9,sdg
San Diego Chargers,1999,1,sdg
San Diego Chargers,2000,8,sdg
San Diego Chargers,2001,17,sdg
San Diego Chargers,2002,8,sdg
San Diego Chargers,2003,6,sdg
San Diego Chargers,2004,10,sdg
San Diego Chargers,2005,10,sdg
San Diego Chargers,2006,3,sdg
San Diego Chargers,2007,7,sdg
San Diego Chargers,2008,9,sdg
San Diego Chargers,2009,5,sdg
San Diego Chargers,2010,10,sdg
San Diego Chargers,2011,6,sdg
San Diego Chargers,2012,7,sdg
San Diego Chargers,2013,8,sdg
San Diego Chargers,2014,10,sdg
San Diego Chargers,2015,10,sdg
San Diego Chargers,2016,11,sdg
Los Angeles Chargers,2017,9,sdg
Los Angeles Chargers,2018,8,sdg
Los Angeles Chargers,2019,12,sdg
Los Angeles Chargers,2020,6,sdg
Los Angeles Chargers,2021,7,sdg
Los Angeles Chargers,2022,8,sdg
Los Angeles Chargers,2023,5,sdg
Los Angeles Chargers,2024,5,sdg
