Team,Season,Bye Week,PFR_ABV
Green Bay Packers,1990,7,gnb
Green Bay Packers,1991,7,gnb
Green Bay Packers,1992,6,gnb
Green Bay Packers,1993,3,gnb
Green Bay Packers,1993,7,gnb
Green Bay Packers,1994,7,gnb
Green Bay Packers,1995,5,gnb
Green Bay Packers,1996,8,gnb
Green Bay Packers,1997,8,gnb
Green Bay Packers,1998,6,gnb
Green Bay Packers,1999,4,gnb
Green Bay Packers,2000,8,gnb
Green Bay Packers,2001,7,gnb
Green Bay Packers,2002,8,gnb
Green Bay Packers,2003,8,gnb
Green Bay Packers,2004,9,gnb
Green Bay Packers,2005,6,gnb
Green Bay Packers,2006,6,gnb
Green Bay Packers,2007,7,gnb
Green Bay Packers,2008,8,gnb
Green Bay Packers,2009,5,gnb
Green Bay Packers,2010,10,gnb
Green Bay Packers,2011,8,gnb
Green Bay Packers,2012,10,gnb
Green Bay Packers,2013,4,gnb
Green Bay Packers,2014,9,gnb
Green Bay Packers,2015,7,gnb
Green Bay Packers,2016,4,gnb
Green Bay Packers,2017,8,gnb
Green Bay Packers,2018,7,gnb
Green Bay Packers,2019,11,gnb
Green Bay Packers,2020,5,gnb
Green Bay Packers,2021,13,gnb
Green Bay Packers,2022,14,gnb
Green Bay Packers,2023,6,gnb
Green Bay Packers,2024,10,gnb
