Team,Season,Bye Week,PFR_ABV
Minnesota Vikings,1990,7,min
Minnesota Vikings,1991,14,min
Minnesota Vikings,1992,6,min
Minnesota Vikings,1993,3,min
Minnesota Vikings,1993,7,min
Minnesota Vikings,1994,7,min
Minnesota Vikings,1995,5,min
Minnesota Vikings,1996,8,min
Minnesota Vikings,1997,8,min
Minnesota Vikings,1998,6,min
Minnesota Vikings,1999,11,min
Minnesota Vikings,2000,4,min
Minnesota Vikings,2001,8,min
Minnesota Vikings,2002,5,min
Minnesota Vikings,2003,6,min
Minnesota Vikings,2004,4,min
Minnesota Vikings,2005,5,min
Minnesota Vikings,2006,6,min
Minnesota Vikings,2007,5,min
Minnesota Vikings,2008,8,min
Minnesota Vikings,2009,9,min
Minnesota Vikings,2010,4,min
Minnesota Vikings,2011,9,min
Minnesota Vikings,2012,11,min
Minnesota Vikings,2013,5,min
Minnesota Vikings,2014,10,min
Minnesota Vikings,2015,5,min
Minnesota Vikings,2016,6,min
Minnesota Vikings,2017,9,min
Minnesota Vikings,2018,10,min
Minnesota Vikings,2019,12,min
Minnesota Vikings,2020,7,min
Minnesota Vikings,2021,7,min
Minnesota Vikings,2022,7,min
Minnesota Vikings,2023,13,min
Minnesota Vikings,2024,6,min
