Team,Season,Bye Week,PFR_ABV
Chicago Bears,1990,7,chi
Chicago Bears,1991,7,chi
Chicago Bears,1992,6,chi
Chicago Bears,1993,3,chi
Chicago Bears,1993,7,chi
Chicago Bears,1994,7,chi
Chicago Bears,1995,5,chi
Chicago Bears,1996,8,chi
Chicago Bears,1997,8,chi
Chicago Bears,1998,9,chi
Chicago Bears,1999,14,chi
Chicago Bears,2000,9,chi
Chicago Bears,2001,3,chi
Chicago Bears,2002,6,chi
Chicago Bears,2003,3,chi
Chicago Bears,2004,5,chi
Chicago Bears,2005,4,chi
Chicago Bears,2006,7,chi
Chicago Bears,2007,9,chi
Chicago Bears,2008,8,chi
Chicago Bears,2009,5,chi
Chicago Bears,2010,8,chi
Chicago Bears,2011,8,chi
Chicago Bears,2012,6,chi
Chicago Bears,2013,8,chi
Chicago Bears,2014,9,chi
Chicago Bears,2015,7,chi
Chicago Bears,2016,9,chi
Chicago Bears,2017,9,chi
Chicago Bears,2018,5,chi
Chicago Bears,2019,6,chi
Chicago Bears,2020,11,chi
Chicago Bears,2021,10,chi
Chicago Bears,2022,14,chi
Chicago Bears,2023,13,chi
Chicago Bears,2024,7,chi
