Team,Season,Bye Week
Cincinnati Bengals,1990,10
Cincinnati Bengals,1991,5
Cincinnati Bengals,1992,5
Cincinnati Bengals,1993,5
Cincinnati Bengals,1993,9
Cincinnati Bengals,1994,6
Cincinnati Bengals,1995,7
Cincinnati Bengals,1996,4
Cincinnati Bengals,1997,3
Cincinnati Bengals,1998,5
Cincinnati Bengals,1999,15
Cincinnati Bengals,2000,1
Cincinnati Bengals,2001,8
Cincinnati Bengals,2002,7
Cincinnati Bengals,2003,6
Cincinnati Bengals,2004,5
Cincinnati Bengals,2005,10
Cincinnati Bengals,2006,5
Cincinnati Bengals,2007,5
Cincinnati Bengals,2008,10
Cincinnati Bengals,2009,8
Cincinnati Bengals,2010,6
Cincinnati Bengals,2011,7
Cincinnati Bengals,2012,8
Cincinnati Bengals,2013,12
Cincinnati Bengals,2014,4
Cincinnati Bengals,2015,7
Cincinnati Bengals,2016,9
Cincinnati Bengals,2017,6
Cincinnati Bengals,2018,9
Cincinnati Bengals,2019,9
Cincinnati Bengals,2020,9
Cincinnati Bengals,2021,10
Cincinnati Bengals,2022,10
Cincinnati Bengals,2023,7
Cincinnati Bengals,2024,12
