Team,Season,Bye Week,PFR_ABV
Indianapolis Colts,1990,6,clt
Indianapolis Colts,1991,9,clt
Indianapolis Colts,1992,4,clt
Indianapolis Colts,1993,3,clt
Indianapolis Colts,1993,7,clt
Indianapolis Colts,1994,11,clt
Indianapolis Colts,1995,4,clt
Indianapolis Colts,1996,5,clt
Indianapolis Colts,1997,5,clt
Indianapolis Colts,1998,8,clt
Indianapolis Colts,1999,4,clt
Indianapolis Colts,2000,3,clt
Indianapolis Colts,2001,4,clt
Indianapolis Colts,2002,4,clt
Indianapolis Colts,2003,7,clt
Indianapolis Colts,2004,6,clt
Indianapolis Colts,2005,8,clt
Indianapolis Colts,2006,6,clt
Indianapolis Colts,2007,6,clt
Indianapolis Colts,2008,4,clt
Indianapolis Colts,2009,6,clt
Indianapolis Colts,2010,7,clt
Indianapolis Colts,2011,11,clt
Indianapolis Colts,2012,4,clt
Indianapolis Colts,2013,8,clt
Indianapolis Colts,2014,10,clt
Indianapolis Colts,2015,10,clt
Indianapolis Colts,2016,10,clt
Indianapolis Colts,2017,11,clt
Indianapolis Colts,2018,9,clt
Indianapolis Colts,2019,6,clt
Indianapolis Colts,2020,7,clt
Indianapolis Colts,2021,14,clt
Indianapolis Colts,2022,14,clt
Indianapolis Colts,2023,11,clt
Indianapolis Colts,2024,14,clt
