Team,Season,Bye Week
Miami Dolphins,1990,6
Miami Dolphins,1991,9
Miami Dolphins,1992,1
Miami Dolphins,1993,3
Miami Dolphins,1993,7
Miami Dolphins,1994,8
Miami Dolphins,1995,4
Miami Dolphins,1996,5
Miami Dolphins,1997,5
Miami Dolphins,1998,4
Miami Dolphins,1999,3
Miami Dolphins,2000,7
Miami Dolphins,2001,6
Miami Dolphins,2002,8
Miami Dolphins,2003,4
Miami Dolphins,2004,10
Miami Dolphins,2005,4
Miami Dolphins,2006,8
Miami Dolphins,2007,9
Miami Dolphins,2008,4
Miami Dolphins,2009,6
Miami Dolphins,2010,5
Miami Dolphins,2011,5
Miami Dolphins,2012,7
Miami Dolphins,2013,6
Miami Dolphins,2014,5
Miami Dolphins,2015,5
Miami Dolphins,2016,8
Miami Dolphins,2017,1
Miami Dolphins,2018,11
Miami Dolphins,2019,5
Miami Dolphins,2020,7
Miami Dolphins,2021,14
Miami Dolphins,2022,11
Miami Dolphins,2023,10
Miami Dolphins,2024,6
