Team,Season,Bye Week,PFR_ABV
Washington Redskins,1990,5,was
Washington Redskins,1991,8,was
Washington Redskins,1992,4,was
Washington Redskins,1993,4,was
Washington Redskins,1993,8,was
Washington Redskins,1994,11,was
Washington Redskins,1995,11,was
Washington Redskins,1996,6,was
Washington Redskins,1997,4,was
Washington Redskins,1998,8,was
Washington Redskins,1999,5,was
Washington Redskins,2000,11,was
Washington Redskins,2001,9,was
Washington Redskins,2002,4,was
Washington Redskins,2003,8,was
Washington Redskins,2004,7,was
Washington Redskins,2005,3,was
Washington Redskins,2006,8,was
Washington Redskins,2007,4,was
Washington Redskins,2008,10,was
Washington Redskins,2009,8,was
Washington Redskins,2010,9,was
Washington Redskins,2011,5,was
Washington Redskins,2012,10,was
Washington Redskins,2013,5,was
Washington Redskins,2014,10,was
Washington Redskins,2015,8,was
Washington Redskins,2016,9,was
Washington Redskins,2017,5,was
Washington Redskins,2018,4,was
Washington Redskins,2019,10,was
Washington Football Team,2020,8,was
Washington Football Team,2021,9,was
Washington Commanders,2022,14,was
Washington Commanders,2023,14,was
Washington Commanders,2024,14,was
