Team,Season,Week,Date,Opp
Denver Broncos,1978,1,1978-09-03,Oakland Raiders
Denver Broncos,1978,2,1978-09-11,Minnesota Vikings
Denver Broncos,1978,3,1978-09-17,San Diego Chargers
Denver Broncos,1978,4,1978-09-24,Kansas City Chiefs
Denver Broncos,1978,5,1978-10-01,Seattle Seahawks
Denver Broncos,1978,6,1978-10-08,San Diego Chargers
Denver Broncos,1978,7,1978-10-16,Chicago Bears
Denver Broncos,1978,8,1978-10-22,Baltimore Colts
Denver Broncos,1978,9,1978-10-29,Seattle Seahawks
Denver Broncos,1978,10,1978-11-05,New York Jets
Denver Broncos,1978,11,1978-11-12,Cleveland Browns
Denver Broncos,1978,12,1978-11-19,Green Bay Packers
Denver Broncos,1978,13,1978-11-23,Detroit Lions
Denver Broncos,1978,14,1978-12-03,Oakland Raiders
Denver Broncos,1978,15,1978-12-10,Kansas City Chiefs
Denver Broncos,1978,16,1978-12-16,Pittsburgh Steelers
Denver Broncos,1978,17,1978-12-30,Pittsburgh Steelers
Denver Broncos,1979,1,1979-09-02,Cincinnati Bengals
Denver Broncos,1979,2,1979-09-06,Los Angeles Rams
Denver Broncos,1979,3,1979-09-16,Atlanta Falcons
Denver Broncos,1979,4,1979-09-23,Seattle Seahawks
Denver Broncos,1979,5,1979-09-30,Oakland Raiders
Denver Broncos,1979,6,1979-10-07,San Diego Chargers
Denver Broncos,1979,7,1979-10-14,Kansas City Chiefs
Denver Broncos,1979,8,1979-10-22,Pittsburgh Steelers
Denver Broncos,1979,9,1979-10-28,Kansas City Chiefs
Denver Broncos,1979,10,1979-11-04,New Orleans Saints
Denver Broncos,1979,11,1979-11-11,New England Patriots
Denver Broncos,1979,12,1979-11-18,San Francisco 49ers
Denver Broncos,1979,13,1979-11-25,Oakland Raiders
Denver Broncos,1979,14,1979-12-02,Buffalo Bills
Denver Broncos,1979,15,1979-12-08,Seattle Seahawks
Denver Broncos,1979,16,1979-12-17,San Diego Chargers
Denver Broncos,1979,17,1979-12-23,Houston Oilers
Denver Broncos,1980,1,1980-09-07,Philadelphia Eagles
Denver Broncos,1980,2,1980-09-14,Dallas Cowboys
Denver Broncos,1980,3,1980-09-21,San Diego Chargers
Denver Broncos,1980,4,1980-09-29,New England Patriots
Denver Broncos,1980,5,1980-10-05,Cleveland Browns
Denver Broncos,1980,6,1980-10-13,Washington Redskins
Denver Broncos,1980,7,1980-10-19,Kansas City Chiefs
Denver Broncos,1980,8,1980-10-26,New York Giants
Denver Broncos,1980,9,1980-11-02,Houston Oilers
Denver Broncos,1980,10,1980-11-09,San Diego Chargers
Denver Broncos,1980,11,1980-11-16,New York Jets
Denver Broncos,1980,12,1980-11-23,Seattle Seahawks
Denver Broncos,1980,13,1980-12-01,Oakland Raiders
Denver Broncos,1980,14,1980-12-07,Kansas City Chiefs
Denver Broncos,1980,15,1980-12-14,Oakland Raiders
Denver Broncos,1980,16,1980-12-21,Seattle Seahawks
Denver Broncos,1981,1,1981-09-06,Oakland Raiders
Denver Broncos,1981,2,1981-09-13,Seattle Seahawks
Denver Broncos,1981,3,1981-09-20,Baltimore Colts
Denver Broncos,1981,4,1981-09-27,San Diego Chargers
Denver Broncos,1981,5,1981-10-04,Oakland Raiders
Denver Broncos,1981,6,1981-10-11,Detroit Lions
