Team,Season,Week,Date,Opp
Green Bay Packers,1990,1,1990-09-09,Los Angeles Rams
Green Bay Packers,1990,2,1990-09-16,Chicago Bears
Green Bay Packers,1990,3,1990-09-23,Kansas City Chiefs
Green Bay Packers,1990,4,1990-09-30,Detroit Lions
Green Bay Packers,1990,5,1990-10-07,Chicago Bears
Green Bay Packers,1990,6,1990-10-14,Tampa Bay Buccaneers
Green Bay Packers,1990,8,1990-10-28,Minnesota Vikings
Green Bay Packers,1990,9,1990-11-04,San Francisco 49ers
Green Bay Packers,1990,10,1990-11-11,Los Angeles Raiders
Green Bay Packers,1990,11,1990-11-18,Phoenix Cardinals
Green Bay Packers,1990,12,1990-11-25,Tampa Bay Buccaneers
Green Bay Packers,1990,13,1990-12-02,Minnesota Vikings
Green Bay Packers,1990,14,1990-12-09,Seattle Seahawks
Green Bay Packers,1990,15,1990-12-16,Philadelphia Eagles
Green Bay Packers,1990,16,1990-12-22,Detroit Lions
Green Bay Packers,1990,17,1990-12-30,Denver Broncos
Green Bay Packers,1991,1,1991-09-01,Philadelphia Eagles
Green Bay Packers,1991,2,1991-09-08,Detroit Lions
Green Bay Packers,1991,3,1991-09-15,Tampa Bay Buccaneers
Green Bay Packers,1991,4,1991-09-22,Miami Dolphins
Green Bay Packers,1991,5,1991-09-29,Los Angeles Rams
Green Bay Packers,1991,6,1991-10-06,Dallas Cowboys
Green Bay Packers,1991,8,1991-10-17,Chicago Bears
Green Bay Packers,1991,9,1991-10-27,Tampa Bay Buccaneers
Green Bay Packers,1991,10,1991-11-03,New York Jets
Green Bay Packers,1991,11,1991-11-10,Buffalo Bills
Green Bay Packers,1991,12,1991-11-17,Minnesota Vikings
Green Bay Packers,1991,13,1991-11-24,Indianapolis Colts
Green Bay Packers,1991,14,1991-12-01,Atlanta Falcons
Green Bay Packers,1991,15,1991-12-08,Chicago Bears
Green Bay Packers,1991,16,1991-12-15,Detroit Lions
Green Bay Packers,1991,17,1991-12-21,Minnesota Vikings
Green Bay Packers,1992,1,1992-09-06,Minnesota Vikings
Green Bay Packers,1992,2,1992-09-13,Tampa Bay Buccaneers
Green Bay Packers,1992,3,1992-09-20,Cincinnati Bengals
Green Bay Packers,1992,4,1992-09-27,Pittsburgh Steelers
Green Bay Packers,1992,5,1992-10-04,Atlanta Falcons
Green Bay Packers,1992,7,1992-10-18,Cleveland Browns
Green Bay Packers,1992,8,1992-10-25,Chicago Bears
Green Bay Packers,1992,9,1992-11-01,Detroit Lions
Green Bay Packers,1992,10,1992-11-08,New York Giants
Green Bay Packers,1992,11,1992-11-15,Philadelphia Eagles
Green Bay Packers,1992,12,1992-11-22,Chicago Bears
Green Bay Packers,1992,13,1992-11-29,Tampa Bay Buccaneers
Green Bay Packers,1992,14,1992-12-06,Detroit Lions
Green Bay Packers,1992,15,1992-12-13,Houston Oilers
Green Bay Packers,1992,16,1992-12-20,Los Angeles Rams
Green Bay Packers,1992,17,1992-12-27,Minnesota Vikings
Green Bay Packers,1993,1,1993-09-05,Los Angeles Rams
Green Bay Packers,1993,2,1993-09-12,Philadelphia Eagles
Green Bay Packers,1993,4,1993-09-26,Minnesota Vikings
Green Bay Packers,1993,5,1993-10-03,Dallas Cowboys
Green Bay Packers,1993,6,1993-10-10,Denver Broncos
Green Bay Packers,1993,8,1993-10-24,Tampa Bay Buccaneers
Green Bay Packers,1993,9,1993-10-31,Chicago Bears
Green Bay Packers,1993,10,1993-11-08,Kansas City Chiefs
Green Bay Packers,1993,11,1993-11-14,New Orleans Saints
Green Bay Packers,1993,12,1993-11-21,Detroit Lions
Green Bay Packers,1993,13,1993-11-28,Tampa Bay Buccaneers
Green Bay Packers,1993,14,1993-12-05,Chicago Bears
Green Bay Packers,1993,15,1993-12-12,San Diego Chargers
Green Bay Packers,1993,16,1993-12-19,Minnesota Vikings
Green Bay Packers,1993,17,1993-12-26,Los Angeles Raiders
Green Bay Packers,1993,18,1994-01-02,Detroit Lions
Green Bay Packers,1993,19,1994-01-08,Detroit Lions
Green Bay Packers,1993,20,1994-01-16,Dallas Cowboys
Green Bay Packers,1994,1,1994-09-04,Minnesota Vikings
Green Bay Packers,1994,2,1994-09-11,Miami Dolphins
Green Bay Packers,1994,3,1994-09-18,Philadelphia Eagles
Green Bay Packers,1994,4,1994-09-25,Tampa Bay Buccaneers
Green Bay Packers,1994,5,1994-10-02,New England Patriots
Green Bay Packers,1994,6,1994-10-09,Los Angeles Rams
Green Bay Packers,1994,8,1994-10-20,Minnesota Vikings
Green Bay Packers,1994,9,1994-10-31,Chicago Bears
Green Bay Packers,1994,10,1994-11-06,Detroit Lions
Green Bay Packers,1994,11,1994-11-13,New York Jets
Green Bay Packers,1994,12,1994-11-20,Buffalo Bills
Green Bay Packers,1994,13,1994-11-24,Dallas Cowboys
Green Bay Packers,1994,14,1994-12-04,Detroit Lions
Green Bay Packers,1994,15,1994-12-11,Chicago Bears
Green Bay Packers,1994,16,1994-12-18,Atlanta Falcons
Green Bay Packers,1994,17,1994-12-24,Tampa Bay Buccaneers
Green Bay Packers,1994,18,1994-12-31,Detroit Lions
Green Bay Packers,1994,19,1995-01-08,Dallas Cowboys
Green Bay Packers,1995,1,1995-09-03,St. Louis Rams
Green Bay Packers,1995,2,1995-09-11,Chicago Bears
Green Bay Packers,1995,3,1995-09-17,New York Giants
Green Bay Packers,1995,4,1995-09-24,Jacksonville Jaguars
Green Bay Packers,1995,6,1995-10-08,Dallas Cowboys
Green Bay Packers,1995,7,1995-10-15,Detroit Lions
Green Bay Packers,1995,8,1995-10-22,Minnesota Vikings
Green Bay Packers,1995,9,1995-10-29,Detroit Lions
Green Bay Packers,1995,10,1995-11-05,Minnesota Vikings
Green Bay Packers,1995,11,1995-11-12,Chicago Bears
Green Bay Packers,1995,12,1995-11-19,Cleveland Browns
Green Bay Packers,1995,13,1995-11-26,Tampa Bay Buccaneers
Green Bay Packers,1995,14,1995-12-03,Cincinnati Bengals
Green Bay Packers,1995,15,1995-12-10,Tampa Bay Buccaneers
Green Bay Packers,1995,16,1995-12-16,New Orleans Saints
Green Bay Packers,1995,17,1995-12-24,Pittsburgh Steelers
Green Bay Packers,1995,18,1995-12-31,Atlanta Falcons
Green Bay Packers,1995,19,1996-01-06,San Francisco 49ers
Green Bay Packers,1995,20,1996-01-14,Dallas Cowboys
Green Bay Packers,1996,1,1996-09-01,Tampa Bay Buccaneers
Green Bay Packers,1996,2,1996-09-09,Philadelphia Eagles
Green Bay Packers,1996,3,1996-09-15,San Diego Chargers
Green Bay Packers,1996,4,1996-09-22,Minnesota Vikings
Green Bay Packers,1996,5,1996-09-29,Seattle Seahawks
Green Bay Packers,1996,6,1996-10-06,Chicago Bears
Green Bay Packers,1996,7,1996-10-14,San Francisco 49ers
Green Bay Packers,1996,9,1996-10-27,Tampa Bay Buccaneers
Green Bay Packers,1996,10,1996-11-03,Detroit Lions
Green Bay Packers,1996,11,1996-11-10,Kansas City Chiefs
Green Bay Packers,1996,12,1996-11-18,Dallas Cowboys
Green Bay Packers,1996,13,1996-11-24,St. Louis Rams
Green Bay Packers,1996,14,1996-12-01,Chicago Bears
Green Bay Packers,1996,15,1996-12-08,Denver Broncos
Green Bay Packers,1996,16,1996-12-15,Detroit Lions
Green Bay Packers,1996,17,1996-12-22,Minnesota Vikings
Green Bay Packers,1996,18,1997-01-04,San Francisco 49ers
Green Bay Packers,1996,19,1997-01-12,Carolina Panthers
Green Bay Packers,1996,20,1997-01-26,New England Patriots
Green Bay Packers,1997,1,1997-09-01,Chicago Bears
Green Bay Packers,1997,2,1997-09-07,Philadelphia Eagles
Green Bay Packers,1997,3,1997-09-14,Miami Dolphins
Green Bay Packers,1997,4,1997-09-21,Minnesota Vikings
Green Bay Packers,1997,5,1997-09-28,Detroit Lions
Green Bay Packers,1997,6,1997-10-05,Tampa Bay Buccaneers
Green Bay Packers,1997,7,1997-10-12,Chicago Bears
Green Bay Packers,1997,9,1997-10-27,New England Patriots
Green Bay Packers,1997,10,1997-11-02,Detroit Lions
Green Bay Packers,1997,11,1997-11-09,St. Louis Rams
Green Bay Packers,1997,12,1997-11-16,Indianapolis Colts
Green Bay Packers,1997,13,1997-11-23,Dallas Cowboys
Green Bay Packers,1997,14,1997-12-01,Minnesota Vikings
Green Bay Packers,1997,15,1997-12-07,Tampa Bay Buccaneers
Green Bay Packers,1997,16,1997-12-14,Carolina Panthers
Green Bay Packers,1997,17,1997-12-20,Buffalo Bills
Green Bay Packers,1997,18,1998-01-04,Tampa Bay Buccaneers
Green Bay Packers,1997,19,1998-01-11,San Francisco 49ers
Green Bay Packers,1997,20,1998-01-25,Denver Broncos
Green Bay Packers,1998,1,1998-09-06,Detroit Lions
Green Bay Packers,1998,2,1998-09-13,Tampa Bay Buccaneers
Green Bay Packers,1998,3,1998-09-20,Cincinnati Bengals
Green Bay Packers,1998,4,1998-09-27,Carolina Panthers
Green Bay Packers,1998,5,1998-10-05,Minnesota Vikings
Green Bay Packers,1998,7,1998-10-15,Detroit Lions
Green Bay Packers,1998,8,1998-10-25,Baltimore Ravens
Green Bay Packers,1998,9,1998-11-01,San Francisco 49ers
Green Bay Packers,1998,10,1998-11-09,Pittsburgh Steelers
Green Bay Packers,1998,11,1998-11-15,New York Giants
Green Bay Packers,1998,12,1998-11-22,Minnesota Vikings
Green Bay Packers,1998,13,1998-11-29,Philadelphia Eagles
Green Bay Packers,1998,14,1998-12-07,Tampa Bay Buccaneers
Green Bay Packers,1998,15,1998-12-13,Chicago Bears
Green Bay Packers,1998,16,1998-12-20,Tennessee Oilers
Green Bay Packers,1998,17,1998-12-27,Chicago Bears
Green Bay Packers,1998,18,1999-01-03,San Francisco 49ers
Green Bay Packers,1999,1,1999-09-12,Oakland Raiders
Green Bay Packers,1999,2,1999-09-19,Detroit Lions
Green Bay Packers,1999,3,1999-09-26,Minnesota Vikings
Green Bay Packers,1999,5,1999-10-10,Tampa Bay Buccaneers
Green Bay Packers,1999,6,1999-10-17,Denver Broncos
Green Bay Packers,1999,7,1999-10-24,San Diego Chargers
Green Bay Packers,1999,8,1999-11-01,Seattle Seahawks
Green Bay Packers,1999,9,1999-11-07,Chicago Bears
Green Bay Packers,1999,10,1999-11-14,Dallas Cowboys
