Team,Season,Week,Date,Opp
Phoenix Cardinals,1990,1,1990-09-09,Washington Redskins
Phoenix Cardinals,1990,2,1990-09-16,Philadelphia Eagles
Phoenix Cardinals,1990,3,1990-09-23,New Orleans Saints
Phoenix Cardinals,1990,4,1990-09-30,Washington Redskins
Phoenix Cardinals,1990,6,1990-10-14,Dallas Cowboys
Phoenix Cardinals,1990,7,1990-10-21,New York Giants
Phoenix Cardinals,1990,8,1990-10-28,Chicago Bears
Phoenix Cardinals,1990,9,1990-11-04,Miami Dolphins
Phoenix Cardinals,1990,10,1990-11-11,Buffalo Bills
Phoenix Cardinals,1990,11,1990-11-18,Green Bay Packers
Phoenix Cardinals,1990,12,1990-11-25,New England Patriots
Phoenix Cardinals,1990,13,1990-12-02,Indianapolis Colts
Phoenix Cardinals,1990,14,1990-12-09,Atlanta Falcons
Phoenix Cardinals,1990,15,1990-12-16,Dallas Cowboys
Phoenix Cardinals,1990,16,1990-12-23,New York Giants
Phoenix Cardinals,1990,17,1990-12-29,Philadelphia Eagles
Phoenix Cardinals,1991,1,1991-09-01,Los Angeles Rams
Phoenix Cardinals,1991,2,1991-09-08,Philadelphia Eagles
Phoenix Cardinals,1991,3,1991-09-15,Washington Redskins
Phoenix Cardinals,1991,4,1991-09-22,Dallas Cowboys
Phoenix Cardinals,1991,5,1991-09-29,New England Patriots
Phoenix Cardinals,1991,6,1991-10-06,New York Giants
Phoenix Cardinals,1991,7,1991-10-13,Minnesota Vikings
Phoenix Cardinals,1991,8,1991-10-20,Atlanta Falcons
Phoenix Cardinals,1991,9,1991-10-27,Minnesota Vikings
Phoenix Cardinals,1991,10,1991-11-03,Dallas Cowboys
Phoenix Cardinals,1991,11,1991-11-10,New York Giants
Phoenix Cardinals,1991,12,1991-11-17,San Francisco 49ers
Phoenix Cardinals,1991,13,1991-11-24,Philadelphia Eagles
Phoenix Cardinals,1991,15,1991-12-08,Washington Redskins
Phoenix Cardinals,1991,16,1991-12-15,Denver Broncos
Phoenix Cardinals,1991,17,1991-12-22,New Orleans Saints
Phoenix Cardinals,1992,1,1992-09-06,Tampa Bay Buccaneers
Phoenix Cardinals,1992,2,1992-09-13,Philadelphia Eagles
Phoenix Cardinals,1992,3,1992-09-20,Dallas Cowboys
Phoenix Cardinals,1992,5,1992-10-04,Washington Redskins
Phoenix Cardinals,1992,6,1992-10-11,New York Giants
Phoenix Cardinals,1992,7,1992-10-18,New Orleans Saints
Phoenix Cardinals,1992,8,1992-10-25,Philadelphia Eagles
Phoenix Cardinals,1992,9,1992-11-01,San Francisco 49ers
Phoenix Cardinals,1992,10,1992-11-08,Los Angeles Rams
Phoenix Cardinals,1992,11,1992-11-15,Atlanta Falcons
Phoenix Cardinals,1992,12,1992-11-22,Dallas Cowboys
Phoenix Cardinals,1992,13,1992-11-29,Washington Redskins
Phoenix Cardinals,1992,14,1992-12-06,San Diego Chargers
Phoenix Cardinals,1992,15,1992-12-12,New York Giants
Phoenix Cardinals,1992,16,1992-12-20,Indianapolis Colts
Phoenix Cardinals,1992,17,1992-12-27,Tampa Bay Buccaneers
Phoenix Cardinals,1993,1,1993-09-05,Philadelphia Eagles
Phoenix Cardinals,1993,2,1993-09-12,Washington Redskins
Phoenix Cardinals,1993,3,1993-09-19,Dallas Cowboys
Phoenix Cardinals,1993,4,1993-09-26,Detroit Lions
Phoenix Cardinals,1993,6,1993-10-10,New England Patriots
Phoenix Cardinals,1993,7,1993-10-17,Washington Redskins
Phoenix Cardinals,1993,8,1993-10-24,San Francisco 49ers
Phoenix Cardinals,1993,9,1993-10-31,New Orleans Saints
Phoenix Cardinals,1993,10,1993-11-07,Philadelphia Eagles
Phoenix Cardinals,1993,11,1993-11-14,Dallas Cowboys
Phoenix Cardinals,1993,13,1993-11-28,New York Giants
Phoenix Cardinals,1993,14,1993-12-05,Los Angeles Rams
Phoenix Cardinals,1993,15,1993-12-12,Detroit Lions
Phoenix Cardinals,1993,16,1993-12-19,Seattle Seahawks
Phoenix Cardinals,1993,17,1993-12-26,New York Giants
Phoenix Cardinals,1993,18,1994-01-02,Atlanta Falcons
Arizona Cardinals,1994,1,1994-09-04,Los Angeles Rams
Arizona Cardinals,1994,2,1994-09-11,New York Giants
Arizona Cardinals,1994,3,1994-09-18,Cleveland Browns
Arizona Cardinals,1994,5,1994-10-02,Minnesota Vikings
Arizona Cardinals,1994,6,1994-10-09,Dallas Cowboys
Arizona Cardinals,1994,7,1994-10-16,Washington Redskins
Arizona Cardinals,1994,8,1994-10-23,Dallas Cowboys
Arizona Cardinals,1994,9,1994-10-30,Pittsburgh Steelers
Arizona Cardinals,1994,10,1994-11-06,Philadelphia Eagles
Arizona Cardinals,1994,11,1994-11-13,New York Giants
Arizona Cardinals,1994,12,1994-11-20,Philadelphia Eagles
Arizona Cardinals,1994,13,1994-11-27,Chicago Bears
Arizona Cardinals,1994,14,1994-12-04,Houston Oilers
Arizona Cardinals,1994,15,1994-12-11,Washington Redskins
Arizona Cardinals,1994,16,1994-12-18,Cincinnati Bengals
Arizona Cardinals,1994,17,1994-12-24,Atlanta Falcons
Arizona Cardinals,1995,1,1995-09-03,Washington Redskins
Arizona Cardinals,1995,2,1995-09-10,Philadelphia Eagles
Arizona Cardinals,1995,3,1995-09-17,Detroit Lions
Arizona Cardinals,1995,4,1995-09-24,Dallas Cowboys
Arizona Cardinals,1995,5,1995-10-01,Kansas City Chiefs
Arizona Cardinals,1995,6,1995-10-08,New York Giants
Arizona Cardinals,1995,7,1995-10-15,Washington Redskins
Arizona Cardinals,1995,9,1995-10-29,Seattle Seahawks
Arizona Cardinals,1995,10,1995-11-05,Denver Broncos
Arizona Cardinals,1995,11,1995-11-12,Minnesota Vikings
Arizona Cardinals,1995,12,1995-11-19,Carolina Panthers
Arizona Cardinals,1995,13,1995-11-26,Atlanta Falcons
Arizona Cardinals,1995,14,1995-11-30,New York Giants
Arizona Cardinals,1995,15,1995-12-09,San Diego Chargers
Arizona Cardinals,1995,16,1995-12-17,Philadelphia Eagles
Arizona Cardinals,1995,17,1995-12-25,Dallas Cowboys
Arizona Cardinals,1996,1,1996-09-01,Indianapolis Colts
Arizona Cardinals,1996,2,1996-09-08,Miami Dolphins
Arizona Cardinals,1996,3,1996-09-15,New England Patriots
Arizona Cardinals,1996,4,1996-09-22,New Orleans Saints
