Team,Season,Week,Date,Opp
Los Angeles Rams,1978,1,1978-09-03,Philadelphia Eagles
Los Angeles Rams,1978,2,1978-09-10,Atlanta Falcons
Los Angeles Rams,1978,3,1978-09-17,Dallas Cowboys
Los Angeles Rams,1978,4,1978-09-24,Houston Oilers
Los Angeles Rams,1978,5,1978-10-01,New Orleans Saints
Los Angeles Rams,1978,6,1978-10-08,San Francisco 49ers
Los Angeles Rams,1978,7,1978-10-15,Minnesota Vikings
Los Angeles Rams,1978,8,1978-10-22,New Orleans Saints
Los Angeles Rams,1978,9,1978-10-30,Atlanta Falcons
Los Angeles Rams,1978,10,1978-11-05,Tampa Bay Buccaneers
Los Angeles Rams,1978,11,1978-11-12,Pittsburgh Steelers
Los Angeles Rams,1978,12,1978-11-19,San Francisco 49ers
Los Angeles Rams,1978,13,1978-11-26,Cleveland Browns
Los Angeles Rams,1978,14,1978-12-03,New York Giants
Los Angeles Rams,1978,15,1978-12-11,Cincinnati Bengals
Los Angeles Rams,1978,16,1978-12-17,Green Bay Packers
Los Angeles Rams,1978,17,1978-12-31,Minnesota Vikings
Los Angeles Rams,1978,18,1979-01-07,Dallas Cowboys
Los Angeles Rams,1979,1,1979-09-02,Oakland Raiders
Los Angeles Rams,1979,2,1979-09-06,Denver Broncos
Los Angeles Rams,1979,3,1979-09-16,San Francisco 49ers
Los Angeles Rams,1979,4,1979-09-23,Tampa Bay Buccaneers
Los Angeles Rams,1979,5,1979-09-30,St. Louis Cardinals
Los Angeles Rams,1979,6,1979-10-07,New Orleans Saints
Los Angeles Rams,1979,7,1979-10-14,Dallas Cowboys
Los Angeles Rams,1979,8,1979-10-21,San Diego Chargers
Los Angeles Rams,1979,9,1979-10-28,New York Giants
Los Angeles Rams,1979,10,1979-11-04,Seattle Seahawks
Los Angeles Rams,1979,11,1979-11-11,Chicago Bears
Los Angeles Rams,1979,12,1979-11-19,Atlanta Falcons
Los Angeles Rams,1979,13,1979-11-25,San Francisco 49ers
Los Angeles Rams,1979,14,1979-12-02,Minnesota Vikings
Los Angeles Rams,1979,15,1979-12-09,Atlanta Falcons
Los Angeles Rams,1979,16,1979-12-16,New Orleans Saints
Los Angeles Rams,1979,17,1979-12-30,Dallas Cowboys
Los Angeles Rams,1979,18,1980-01-06,Tampa Bay Buccaneers
Los Angeles Rams,1979,19,1980-01-20,Pittsburgh Steelers
Los Angeles Rams,1980,1,1980-09-07,Detroit Lions
Los Angeles Rams,1980,2,1980-09-11,Tampa Bay Buccaneers
Los Angeles Rams,1980,3,1980-09-21,Green Bay Packers
Los Angeles Rams,1980,4,1980-09-28,New York Giants
Los Angeles Rams,1980,5,1980-10-05,San Francisco 49ers
Los Angeles Rams,1980,6,1980-10-12,St. Louis Cardinals
Los Angeles Rams,1980,7,1980-10-19,San Francisco 49ers
Los Angeles Rams,1980,8,1980-10-26,Atlanta Falcons
Los Angeles Rams,1980,9,1980-11-02,New Orleans Saints
Los Angeles Rams,1980,10,1980-11-09,Miami Dolphins
Los Angeles Rams,1980,11,1980-11-16,New England Patriots
Los Angeles Rams,1980,12,1980-11-24,New Orleans Saints
Los Angeles Rams,1980,13,1980-11-30,New York Jets
Los Angeles Rams,1980,14,1980-12-07,Buffalo Bills
Los Angeles Rams,1980,15,1980-12-15,Dallas Cowboys
Los Angeles Rams,1980,16,1980-12-21,Atlanta Falcons
Los Angeles Rams,1980,17,1980-12-28,Dallas Cowboys
Los Angeles Rams,1981,1,1981-09-06,Houston Oilers
Los Angeles Rams,1981,2,1981-09-13,New Orleans Saints
Los Angeles Rams,1981,3,1981-09-20,Green Bay Packers
Los Angeles Rams,1981,4,1981-09-28,Chicago Bears
Los Angeles Rams,1981,5,1981-10-04,Cleveland Browns
Los Angeles Rams,1981,6,1981-10-11,Atlanta Falcons
Los Angeles Rams,1981,7,1981-10-18,Dallas Cowboys
Los Angeles Rams,1981,8,1981-10-25,San Francisco 49ers
Los Angeles Rams,1981,9,1981-11-01,Detroit Lions
Los Angeles Rams,1981,10,1981-11-08,New Orleans Saints
Los Angeles Rams,1981,11,1981-11-15,Cincinnati Bengals
Los Angeles Rams,1981,12,1981-11-22,San Francisco 49ers
Los Angeles Rams,1981,13,1981-11-29,Pittsburgh Steelers
Los Angeles Rams,1981,14,1981-12-06,New York Giants
Los Angeles Rams,1981,15,1981-12-14,Atlanta Falcons
Los Angeles Rams,1981,16,1981-12-20,Washington Redskins
Los Angeles Rams,1982,1,1982-09-12,Green Bay Packers
Los Angeles Rams,1982,2,1982-09-19,Detroit Lions
Los Angeles Rams,1982,11,1982-11-21,Atlanta Falcons
Los Angeles Rams,1982,12,1982-11-28,Kansas City Chiefs
