Team,Season,Week,Date,Opp
San Francisco 49ers,1990,1,1990-09-10,New Orleans Saints
San Francisco 49ers,1990,2,1990-09-16,Washington Redskins
San Francisco 49ers,1990,3,1990-09-23,Atlanta Falcons
San Francisco 49ers,1990,5,1990-10-07,Houston Oilers
San Francisco 49ers,1990,6,1990-10-14,Atlanta Falcons
San Francisco 49ers,1990,7,1990-10-21,Pittsburgh Steelers
San Francisco 49ers,1990,8,1990-10-28,Cleveland Browns
San Francisco 49ers,1990,9,1990-11-04,Green Bay Packers
San Francisco 49ers,1990,10,1990-11-11,Dallas Cowboys
San Francisco 49ers,1990,11,1990-11-18,Tampa Bay Buccaneers
San Francisco 49ers,1990,12,1990-11-25,Los Angeles Rams
San Francisco 49ers,1990,13,1990-12-03,New York Giants
San Francisco 49ers,1990,14,1990-12-09,Cincinnati Bengals
San Francisco 49ers,1990,15,1990-12-17,Los Angeles Rams
San Francisco 49ers,1990,16,1990-12-23,New Orleans Saints
San Francisco 49ers,1990,17,1990-12-30,Minnesota Vikings
San Francisco 49ers,1990,18,1991-01-12,Washington Redskins
San Francisco 49ers,1990,19,1991-01-20,New York Giants
San Francisco 49ers,1991,1,1991-09-02,New York Giants
San Francisco 49ers,1991,2,1991-09-08,San Diego Chargers
San Francisco 49ers,1991,3,1991-09-15,Minnesota Vikings
San Francisco 49ers,1991,4,1991-09-22,Los Angeles Rams
San Francisco 49ers,1991,5,1991-09-29,Los Angeles Raiders
San Francisco 49ers,1991,7,1991-10-13,Atlanta Falcons
San Francisco 49ers,1991,8,1991-10-20,Detroit Lions
San Francisco 49ers,1991,9,1991-10-27,Philadelphia Eagles
San Francisco 49ers,1991,10,1991-11-03,Atlanta Falcons
San Francisco 49ers,1991,11,1991-11-10,New Orleans Saints
San Francisco 49ers,1991,12,1991-11-17,Phoenix Cardinals
San Francisco 49ers,1991,13,1991-11-25,Los Angeles Rams
San Francisco 49ers,1991,14,1991-12-01,New Orleans Saints
San Francisco 49ers,1991,15,1991-12-08,Seattle Seahawks
San Francisco 49ers,1991,16,1991-12-14,Kansas City Chiefs
San Francisco 49ers,1991,17,1991-12-23,Chicago Bears
San Francisco 49ers,1992,1,1992-09-06,New York Giants
San Francisco 49ers,1992,2,1992-09-13,Buffalo Bills
San Francisco 49ers,1992,3,1992-09-20,New York Jets
San Francisco 49ers,1992,4,1992-09-27,New Orleans Saints
San Francisco 49ers,1992,5,1992-10-04,Los Angeles Rams
San Francisco 49ers,1992,6,1992-10-11,New England Patriots
San Francisco 49ers,1992,7,1992-10-18,Atlanta Falcons
San Francisco 49ers,1992,9,1992-11-01,Phoenix Cardinals
San Francisco 49ers,1992,10,1992-11-09,Atlanta Falcons
San Francisco 49ers,1992,11,1992-11-15,New Orleans Saints
San Francisco 49ers,1992,12,1992-11-22,Los Angeles Rams
San Francisco 49ers,1992,13,1992-11-29,Philadelphia Eagles
San Francisco 49ers,1992,14,1992-12-06,Miami Dolphins
