Team,Season,Week,Date,Opp
New Orleans Saints,1990,1,1990-09-10,San Francisco 49ers
New Orleans Saints,1990,2,1990-09-16,Minnesota Vikings
New Orleans Saints,1990,3,1990-09-23,Phoenix Cardinals
New Orleans Saints,1990,5,1990-10-07,Atlanta Falcons
New Orleans Saints,1990,6,1990-10-14,Cleveland Browns
New Orleans Saints,1990,7,1990-10-21,Houston Oilers
New Orleans Saints,1990,8,1990-10-28,Detroit Lions
New Orleans Saints,1990,9,1990-11-04,Cincinnati Bengals
New Orleans Saints,1990,10,1990-11-11,Tampa Bay Buccaneers
New Orleans Saints,1990,11,1990-11-18,Washington Redskins
New Orleans Saints,1990,12,1990-11-25,Atlanta Falcons
New Orleans Saints,1990,13,1990-12-02,Dallas Cowboys
New Orleans Saints,1990,14,1990-12-09,Los Angeles Rams
New Orleans Saints,1990,15,1990-12-16,Pittsburgh Steelers
New Orleans Saints,1990,16,1990-12-23,San Francisco 49ers
New Orleans Saints,1990,17,1990-12-31,Los Angeles Rams
New Orleans Saints,1990,18,1991-01-06,Chicago Bears
New Orleans Saints,1991,1,1991-09-01,Seattle Seahawks
New Orleans Saints,1991,2,1991-09-08,Kansas City Chiefs
New Orleans Saints,1991,3,1991-09-15,Los Angeles Rams
New Orleans Saints,1991,4,1991-09-22,Minnesota Vikings
New Orleans Saints,1991,5,1991-09-29,Atlanta Falcons
New Orleans Saints,1991,7,1991-10-13,Philadelphia Eagles
New Orleans Saints,1991,8,1991-10-20,Tampa Bay Buccaneers
New Orleans Saints,1991,9,1991-10-27,Chicago Bears
New Orleans Saints,1991,10,1991-11-03,Los Angeles Rams
New Orleans Saints,1991,11,1991-11-10,San Francisco 49ers
New Orleans Saints,1991,12,1991-11-17,San Diego Chargers
New Orleans Saints,1991,13,1991-11-24,Atlanta Falcons
New Orleans Saints,1991,14,1991-12-01,San Francisco 49ers
New Orleans Saints,1991,15,1991-12-08,Dallas Cowboys
New Orleans Saints,1991,16,1991-12-16,Los Angeles Raiders
New Orleans Saints,1991,17,1991-12-22,Phoenix Cardinals
New Orleans Saints,1991,18,1991-12-28,Atlanta Falcons
New Orleans Saints,1992,1,1992-09-06,Philadelphia Eagles
New Orleans Saints,1992,2,1992-09-13,Chicago Bears
New Orleans Saints,1992,3,1992-09-20,Atlanta Falcons
New Orleans Saints,1992,4,1992-09-27,San Francisco 49ers
New Orleans Saints,1992,5,1992-10-04,Detroit Lions
New Orleans Saints,1992,6,1992-10-11,Los Angeles Rams
New Orleans Saints,1992,7,1992-10-18,Phoenix Cardinals
New Orleans Saints,1992,9,1992-11-01,Tampa Bay Buccaneers
New Orleans Saints,1992,10,1992-11-08,New England Patriots
New Orleans Saints,1992,11,1992-11-15,San Francisco 49ers
New Orleans Saints,1992,12,1992-11-23,Washington Redskins
New Orleans Saints,1992,13,1992-11-29,Miami Dolphins
New Orleans Saints,1992,14,1992-12-03,Atlanta Falcons
New Orleans Saints,1992,15,1992-12-13,Los Angeles Rams
New Orleans Saints,1992,16,1992-12-20,Buffalo Bills
New Orleans Saints,1992,17,1992-12-26,New York Jets
New Orleans Saints,1992,18,1993-01-03,Philadelphia Eagles
New Orleans Saints,1993,1,1993-09-05,Houston Oilers
New Orleans Saints,1993,2,1993-09-12,Atlanta Falcons
New Orleans Saints,1993,3,1993-09-19,Detroit Lions
New Orleans Saints,1993,4,1993-09-26,San Francisco 49ers
New Orleans Saints,1993,5,1993-10-03,Los Angeles Rams
New Orleans Saints,1993,7,1993-10-17,Pittsburgh Steelers
New Orleans Saints,1993,8,1993-10-24,Atlanta Falcons
New Orleans Saints,1993,9,1993-10-31,Phoenix Cardinals
New Orleans Saints,1993,11,1993-11-14,Green Bay Packers
New Orleans Saints,1993,12,1993-11-22,San Francisco 49ers
New Orleans Saints,1993,13,1993-11-28,Minnesota Vikings
New Orleans Saints,1993,14,1993-12-05,Cleveland Browns
New Orleans Saints,1993,15,1993-12-12,Los Angeles Rams
New Orleans Saints,1993,16,1993-12-20,New York Giants
New Orleans Saints,1993,17,1993-12-26,Philadelphia Eagles
New Orleans Saints,1993,18,1994-01-02,Cincinnati Bengals
New Orleans Saints,1994,1,1994-09-04,Kansas City Chiefs
New Orleans Saints,1994,2,1994-09-11,Washington Redskins
New Orleans Saints,1994,3,1994-09-18,Tampa Bay Buccaneers
New Orleans Saints,1994,4,1994-09-25,San Francisco 49ers
New Orleans Saints,1994,5,1994-10-02,New York Giants
New Orleans Saints,1994,6,1994-10-09,Chicago Bears
New Orleans Saints,1994,7,1994-10-16,San Diego Chargers
New Orleans Saints,1994,8,1994-10-23,Los Angeles Rams
New Orleans Saints,1994,10,1994-11-06,Minnesota Vikings
