Team,Season,Week,Date,Opp
Detroit Lions,1978,1,1978-09-03,Green Bay Packers
Detroit Lions,1978,2,1978-09-09,Tampa Bay Buccaneers
Detroit Lions,1978,3,1978-09-17,Chicago Bears
Detroit Lions,1978,4,1978-09-24,Seattle Seahawks
Detroit Lions,1978,5,1978-10-01,Green Bay Packers
Detroit Lions,1978,6,1978-10-08,Washington Redskins
Detroit Lions,1978,7,1978-10-15,Atlanta Falcons
Detroit Lions,1978,8,1978-10-22,San Diego Chargers
Detroit Lions,1978,9,1978-10-29,Chicago Bears
Detroit Lions,1978,10,1978-11-05,Minnesota Vikings
Detroit Lions,1978,11,1978-11-12,Tampa Bay Buccaneers
Detroit Lions,1978,12,1978-11-19,Oakland Raiders
Detroit Lions,1978,13,1978-11-23,Denver Broncos
Detroit Lions,1978,14,1978-12-03,St. Louis Cardinals
Detroit Lions,1978,15,1978-12-09,Minnesota Vikings
Detroit Lions,1978,16,1978-12-17,San Francisco 49ers
Detroit Lions,1979,1,1979-09-01,Tampa Bay Buccaneers
Detroit Lions,1979,2,1979-09-09,Washington Redskins
Detroit Lions,1979,3,1979-09-16,New York Jets
Detroit Lions,1979,4,1979-09-23,Atlanta Falcons
Detroit Lions,1979,5,1979-09-30,Minnesota Vikings
Detroit Lions,1979,6,1979-10-07,New England Patriots
Detroit Lions,1979,7,1979-10-14,Green Bay Packers
Detroit Lions,1979,8,1979-10-21,New Orleans Saints
Detroit Lions,1979,9,1979-10-28,Buffalo Bills
Detroit Lions,1979,10,1979-11-04,Chicago Bears
Detroit Lions,1979,11,1979-11-11,Tampa Bay Buccaneers
Detroit Lions,1979,12,1979-11-18,Minnesota Vikings
Detroit Lions,1979,13,1979-11-22,Chicago Bears
Detroit Lions,1979,14,1979-12-02,Philadelphia Eagles
Detroit Lions,1979,15,1979-12-09,Miami Dolphins
Detroit Lions,1979,16,1979-12-15,Green Bay Packers
Detroit Lions,1980,1,1980-09-07,Los Angeles Rams
Detroit Lions,1980,2,1980-09-14,Green Bay Packers
Detroit Lions,1980,3,1980-09-21,St. Louis Cardinals
Detroit Lions,1980,4,1980-09-28,Minnesota Vikings
Detroit Lions,1980,5,1980-10-05,Atlanta Falcons
Detroit Lions,1980,6,1980-10-12,New Orleans Saints
Detroit Lions,1980,7,1980-10-19,Chicago Bears
Detroit Lions,1980,8,1980-10-26,Kansas City Chiefs
Detroit Lions,1980,9,1980-11-02,San Francisco 49ers
Detroit Lions,1980,10,1980-11-09,Minnesota Vikings
Detroit Lions,1980,11,1980-11-16,Baltimore Colts
Detroit Lions,1980,12,1980-11-23,Tampa Bay Buccaneers
Detroit Lions,1980,13,1980-11-27,Chicago Bears
Detroit Lions,1980,14,1980-12-07,St. Louis Cardinals
Detroit Lions,1980,15,1980-12-14,Tampa Bay Buccaneers
Detroit Lions,1980,16,1980-12-21,Green Bay Packers
Detroit Lions,1981,1,1981-09-06,San Francisco 49ers
Detroit Lions,1981,2,1981-09-13,San Diego Chargers
Detroit Lions,1981,3,1981-09-20,Minnesota Vikings
Detroit Lions,1981,4,1981-09-27,Oakland Raiders
Detroit Lions,1981,5,1981-10-04,Tampa Bay Buccaneers
Detroit Lions,1981,6,1981-10-11,Denver Broncos
Detroit Lions,1981,7,1981-10-19,Chicago Bears
Detroit Lions,1981,8,1981-10-25,Green Bay Packers
Detroit Lions,1981,9,1981-11-01,Los Angeles Rams
Detroit Lions,1981,10,1981-11-08,Washington Redskins
Detroit Lions,1981,11,1981-11-15,Dallas Cowboys
Detroit Lions,1981,12,1981-11-22,Chicago Bears
Detroit Lions,1981,13,1981-11-26,Kansas City Chiefs
Detroit Lions,1981,14,1981-12-06,Green Bay Packers
Detroit Lions,1981,15,1981-12-12,Minnesota Vikings
Detroit Lions,1981,16,1981-12-20,Tampa Bay Buccaneers
Detroit Lions,1982,1,1982-09-12,Chicago Bears
Detroit Lions,1982,2,1982-09-19,Los Angeles Rams
Detroit Lions,1982,11,1982-11-21,Chicago Bears
Detroit Lions,1982,12,1982-11-25,New York Giants
Detroit Lions,1982,13,1982-12-06,New York Jets
Detroit Lions,1982,14,1982-12-12,Green Bay Packers
Detroit Lions,1982,15,1982-12-19,Minnesota Vikings
Detroit Lions,1982,16,1982-12-26,Tampa Bay Buccaneers
Detroit Lions,1982,17,1983-01-02,Green Bay Packers
Detroit Lions,1982,18,1983-01-08,Washington Redskins
Detroit Lions,1983,1,1983-09-04,Tampa Bay Buccaneers
Detroit Lions,1983,2,1983-09-11,Cleveland Browns
Detroit Lions,1983,3,1983-09-18,Atlanta Falcons
Detroit Lions,1983,4,1983-09-25,Minnesota Vikings
Detroit Lions,1983,5,1983-10-02,Los Angeles Rams
Detroit Lions,1983,6,1983-10-09,Green Bay Packers
Detroit Lions,1983,7,1983-10-16,Chicago Bears
Detroit Lions,1983,8,1983-10-23,Washington Redskins
Detroit Lions,1983,9,1983-10-30,Chicago Bears
Detroit Lions,1983,10,1983-11-07,New York Giants
Detroit Lions,1983,11,1983-11-13,Houston Oilers
Detroit Lions,1983,12,1983-11-20,Green Bay Packers
Detroit Lions,1983,13,1983-11-24,Pittsburgh Steelers
Detroit Lions,1983,14,1983-12-05,Minnesota Vikings
Detroit Lions,1983,15,1983-12-11,Cincinnati Bengals
Detroit Lions,1983,16,1983-12-18,Tampa Bay Buccaneers
Detroit Lions,1983,17,1983-12-31,San Francisco 49ers
Detroit Lions,1984,1,1984-09-02,San Francisco 49ers
Detroit Lions,1984,2,1984-09-09,Atlanta Falcons
Detroit Lions,1984,3,1984-09-16,Tampa Bay Buccaneers
Detroit Lions,1984,4,1984-09-23,Minnesota Vikings
Detroit Lions,1984,5,1984-09-30,San Diego Chargers
Detroit Lions,1984,6,1984-10-07,Denver Broncos
Detroit Lions,1984,7,1984-10-14,Tampa Bay Buccaneers
Detroit Lions,1984,8,1984-10-21,Minnesota Vikings
Detroit Lions,1984,9,1984-10-28,Green Bay Packers
Detroit Lions,1984,10,1984-11-04,Philadelphia Eagles
Detroit Lions,1984,11,1984-11-11,Washington Redskins
Detroit Lions,1984,12,1984-11-18,Chicago Bears
Detroit Lions,1984,13,1984-11-22,Green Bay Packers
Detroit Lions,1984,14,1984-12-02,Seattle Seahawks
Detroit Lions,1984,15,1984-12-10,Los Angeles Raiders
Detroit Lions,1984,16,1984-12-16,Chicago Bears
Detroit Lions,1985,1,1985-09-08,Atlanta Falcons
Detroit Lions,1985,2,1985-09-15,Dallas Cowboys
Detroit Lions,1985,3,1985-09-22,Indianapolis Colts
Detroit Lions,1985,4,1985-09-29,Tampa Bay Buccaneers
Detroit Lions,1985,5,1985-10-06,Green Bay Packers
Detroit Lions,1985,6,1985-10-13,Washington Redskins
Detroit Lions,1985,7,1985-10-20,San Francisco 49ers
Detroit Lions,1985,8,1985-10-27,Miami Dolphins
Detroit Lions,1985,9,1985-11-03,Minnesota Vikings
Detroit Lions,1985,10,1985-11-10,Chicago Bears
Detroit Lions,1985,11,1985-11-17,Minnesota Vikings
Detroit Lions,1985,12,1985-11-24,Tampa Bay Buccaneers
Detroit Lions,1985,13,1985-11-28,New York Jets
Detroit Lions,1985,14,1985-12-08,New England Patriots
Detroit Lions,1985,15,1985-12-15,Green Bay Packers
Detroit Lions,1985,16,1985-12-22,Chicago Bears
Detroit Lions,1986,1,1986-09-07,Minnesota Vikings
Detroit Lions,1986,2,1986-09-14,Dallas Cowboys
Detroit Lions,1986,3,1986-09-21,Tampa Bay Buccaneers
Detroit Lions,1986,4,1986-09-28,Cleveland Browns
Detroit Lions,1986,5,1986-10-05,Houston Oilers
Detroit Lions,1986,6,1986-10-12,Green Bay Packers
Detroit Lions,1986,7,1986-10-19,Los Angeles Rams
Detroit Lions,1986,8,1986-10-26,Chicago Bears
Detroit Lions,1986,9,1986-11-02,Cincinnati Bengals
Detroit Lions,1986,10,1986-11-09,Minnesota Vikings
Detroit Lions,1986,11,1986-11-16,Philadelphia Eagles
Detroit Lions,1986,12,1986-11-23,Tampa Bay Buccaneers
Detroit Lions,1986,13,1986-11-27,Green Bay Packers
Detroit Lions,1986,14,1986-12-07,Pittsburgh Steelers
Detroit Lions,1986,15,1986-12-15,Chicago Bears
Detroit Lions,1986,16,1986-12-21,Atlanta Falcons
Detroit Lions,1987,1,1987-09-13,Minnesota Vikings
Detroit Lions,1987,2,1987-09-20,Los Angeles Raiders
Detroit Lions,1987,4,1987-10-04,Tampa Bay Buccaneers
Detroit Lions,1987,5,1987-10-11,Green Bay Packers
Detroit Lions,1987,6,1987-10-18,Seattle Seahawks
Detroit Lions,1987,7,1987-10-25,Green Bay Packers
Detroit Lions,1987,8,1987-11-01,Denver Broncos
Detroit Lions,1987,9,1987-11-08,Dallas Cowboys
Detroit Lions,1987,10,1987-11-15,Washington Redskins
Detroit Lions,1987,11,1987-11-22,Chicago Bears
Detroit Lions,1987,12,1987-11-26,Kansas City Chiefs
Detroit Lions,1987,13,1987-12-06,Los Angeles Rams
Detroit Lions,1987,14,1987-12-13,Tampa Bay Buccaneers
Detroit Lions,1987,15,1987-12-20,Minnesota Vikings
Detroit Lions,1987,16,1987-12-27,Atlanta Falcons
Detroit Lions,1988,1,1988-09-04,Atlanta Falcons
Detroit Lions,1988,2,1988-09-11,Los Angeles Rams
Detroit Lions,1988,3,1988-09-18,New Orleans Saints
Detroit Lions,1988,4,1988-09-25,New York Jets
Detroit Lions,1988,5,1988-10-02,San Francisco 49ers
Detroit Lions,1988,6,1988-10-09,Chicago Bears
Detroit Lions,1988,7,1988-10-16,New York Giants
Detroit Lions,1988,8,1988-10-23,Kansas City Chiefs
Detroit Lions,1988,9,1988-10-30,New York Giants
Detroit Lions,1988,10,1988-11-06,Minnesota Vikings
Detroit Lions,1988,11,1988-11-13,Tampa Bay Buccaneers
Detroit Lions,1988,12,1988-11-20,Green Bay Packers
Detroit Lions,1988,13,1988-11-24,Minnesota Vikings
Detroit Lions,1988,14,1988-12-04,Green Bay Packers
Detroit Lions,1988,15,1988-12-11,Chicago Bears
Detroit Lions,1988,16,1988-12-18,Tampa Bay Buccaneers
Detroit Lions,1989,1,1989-09-10,Phoenix Cardinals
Detroit Lions,1989,2,1989-09-17,New York Giants
Detroit Lions,1989,3,1989-09-24,Chicago Bears
Detroit Lions,1989,4,1989-10-01,Pittsburgh Steelers
Detroit Lions,1989,5,1989-10-08,Minnesota Vikings
Detroit Lions,1989,6,1989-10-15,Tampa Bay Buccaneers
Detroit Lions,1989,7,1989-10-22,Minnesota Vikings
Detroit Lions,1989,8,1989-10-29,Green Bay Packers
Detroit Lions,1989,9,1989-11-05,Houston Oilers
Detroit Lions,1989,10,1989-11-12,Green Bay Packers
Detroit Lions,1989,11,1989-11-19,Cincinnati Bengals
Detroit Lions,1989,12,1989-11-23,Cleveland Browns
Detroit Lions,1989,13,1989-12-03,New Orleans Saints
Detroit Lions,1989,14,1989-12-10,Chicago Bears
Detroit Lions,1989,15,1989-12-17,Tampa Bay Buccaneers
Detroit Lions,1989,16,1989-12-24,Atlanta Falcons
Detroit Lions,1990,1,1990-09-09,Tampa Bay Buccaneers
Detroit Lions,1990,2,1990-09-16,Atlanta Falcons
Detroit Lions,1990,3,1990-09-23,Tampa Bay Buccaneers
Detroit Lions,1990,4,1990-09-30,Green Bay Packers
Detroit Lions,1990,5,1990-10-07,Minnesota Vikings
Detroit Lions,1990,6,1990-10-14,Kansas City Chiefs
Detroit Lions,1990,8,1990-10-28,New Orleans Saints
Detroit Lions,1990,9,1990-11-04,Washington Redskins
Detroit Lions,1990,10,1990-11-11,Minnesota Vikings
Detroit Lions,1990,11,1990-11-18,New York Giants
Detroit Lions,1990,12,1990-11-22,Denver Broncos
Detroit Lions,1990,13,1990-12-02,Chicago Bears
Detroit Lions,1990,14,1990-12-10,Los Angeles Raiders
Detroit Lions,1990,15,1990-12-16,Chicago Bears
Detroit Lions,1990,16,1990-12-22,Green Bay Packers
Detroit Lions,1990,17,1990-12-30,Seattle Seahawks
Detroit Lions,1991,1,1991-09-01,Washington Redskins
Detroit Lions,1991,2,1991-09-08,Green Bay Packers
Detroit Lions,1991,3,1991-09-15,Miami Dolphins
Detroit Lions,1991,4,1991-09-22,Indianapolis Colts
Detroit Lions,1991,5,1991-09-29,Tampa Bay Buccaneers
Detroit Lions,1991,6,1991-10-06,Minnesota Vikings
Detroit Lions,1991,8,1991-10-20,San Francisco 49ers
Detroit Lions,1991,9,1991-10-27,Dallas Cowboys
Detroit Lions,1991,10,1991-11-03,Chicago Bears
Detroit Lions,1991,11,1991-11-10,Tampa Bay Buccaneers
Detroit Lions,1991,12,1991-11-17,Los Angeles Rams
Detroit Lions,1991,13,1991-11-24,Minnesota Vikings
Detroit Lions,1991,14,1991-11-28,Chicago Bears
Detroit Lions,1991,15,1991-12-08,New York Jets
Detroit Lions,1991,16,1991-12-15,Green Bay Packers
Detroit Lions,1991,17,1991-12-22,Buffalo Bills
Detroit Lions,1991,18,1992-01-05,Dallas Cowboys
Detroit Lions,1991,19,1992-01-12,Washington Redskins
Detroit Lions,1992,1,1992-09-06,Chicago Bears
Detroit Lions,1992,2,1992-09-13,Minnesota Vikings
Detroit Lions,1992,3,1992-09-20,Washington Redskins
Detroit Lions,1992,4,1992-09-27,Tampa Bay Buccaneers
Detroit Lions,1992,5,1992-10-04,New Orleans Saints
Detroit Lions,1992,7,1992-10-15,Minnesota Vikings
Detroit Lions,1992,8,1992-10-25,Tampa Bay Buccaneers
Detroit Lions,1992,9,1992-11-01,Green Bay Packers
Detroit Lions,1992,10,1992-11-08,Dallas Cowboys
Detroit Lions,1992,11,1992-11-15,Pittsburgh Steelers
Detroit Lions,1992,12,1992-11-22,Cincinnati Bengals
Detroit Lions,1992,13,1992-11-26,Houston Oilers
Detroit Lions,1992,14,1992-12-06,Green Bay Packers
Detroit Lions,1992,15,1992-12-13,Cleveland Browns
Detroit Lions,1992,16,1992-12-20,Chicago Bears
Detroit Lions,1992,17,1992-12-28,San Francisco 49ers
Detroit Lions,1993,1,1993-09-05,Atlanta Falcons
Detroit Lions,1993,2,1993-09-12,New England Patriots
Detroit Lions,1993,3,1993-09-19,New Orleans Saints
Detroit Lions,1993,4,1993-09-26,Phoenix Cardinals
Detroit Lions,1993,5,1993-10-03,Tampa Bay Buccaneers
Detroit Lions,1993,7,1993-10-17,Seattle Seahawks
Detroit Lions,1993,8,1993-10-24,Los Angeles Rams
Detroit Lions,1993,9,1993-10-31,Minnesota Vikings
Detroit Lions,1993,10,1993-11-07,Tampa Bay Buccaneers
Detroit Lions,1993,12,1993-11-21,Green Bay Packers
Detroit Lions,1993,13,1993-11-25,Chicago Bears
Detroit Lions,1993,14,1993-12-05,Minnesota Vikings
Detroit Lions,1993,15,1993-12-12,Phoenix Cardinals
