Team,Season,Week,Date,Opp
Tampa Bay Buccaneers,1978,1,1978-09-02,New York Giants
Tampa Bay Buccaneers,1978,2,1978-09-09,Detroit Lions
Tampa Bay Buccaneers,1978,3,1978-09-17,Minnesota Vikings
Tampa Bay Buccaneers,1978,4,1978-09-24,Atlanta Falcons
Tampa Bay Buccaneers,1978,5,1978-10-01,Minnesota Vikings
Tampa Bay Buccaneers,1978,6,1978-10-08,Kansas City Chiefs
Tampa Bay Buccaneers,1978,7,1978-10-15,New York Giants
Tampa Bay Buccaneers,1978,8,1978-10-22,Chicago Bears
Tampa Bay Buccaneers,1978,9,1978-10-29,Green Bay Packers
Tampa Bay Buccaneers,1978,10,1978-11-05,Los Angeles Rams
Tampa Bay Buccaneers,1978,11,1978-11-12,Detroit Lions
Tampa Bay Buccaneers,1978,12,1978-11-19,Buffalo Bills
Tampa Bay Buccaneers,1978,13,1978-11-26,Chicago Bears
Tampa Bay Buccaneers,1978,14,1978-12-03,Green Bay Packers
Tampa Bay Buccaneers,1978,15,1978-12-10,San Francisco 49ers
Tampa Bay Buccaneers,1978,16,1978-12-17,New Orleans Saints
Tampa Bay Buccaneers,1979,1,1979-09-01,Detroit Lions
Tampa Bay Buccaneers,1979,2,1979-09-09,Baltimore Colts
Tampa Bay Buccaneers,1979,3,1979-09-16,Green Bay Packers
Tampa Bay Buccaneers,1979,4,1979-09-23,Los Angeles Rams
Tampa Bay Buccaneers,1979,5,1979-09-30,Chicago Bears
Tampa Bay Buccaneers,1979,6,1979-10-07,New York Giants
Tampa Bay Buccaneers,1979,7,1979-10-14,New Orleans Saints
Tampa Bay Buccaneers,1979,8,1979-10-21,Green Bay Packers
Tampa Bay Buccaneers,1979,9,1979-10-28,Minnesota Vikings
Tampa Bay Buccaneers,1979,10,1979-11-04,Atlanta Falcons
Tampa Bay Buccaneers,1979,11,1979-11-11,Detroit Lions
Tampa Bay Buccaneers,1979,12,1979-11-18,New York Giants
Tampa Bay Buccaneers,1979,13,1979-11-25,Minnesota Vikings
Tampa Bay Buccaneers,1979,14,1979-12-02,Chicago Bears
Tampa Bay Buccaneers,1979,15,1979-12-09,San Francisco 49ers
Tampa Bay Buccaneers,1979,16,1979-12-16,Kansas City Chiefs
Tampa Bay Buccaneers,1979,17,1979-12-29,Philadelphia Eagles
Tampa Bay Buccaneers,1979,18,1980-01-06,Los Angeles Rams
Tampa Bay Buccaneers,1980,1,1980-09-07,Cincinnati Bengals
Tampa Bay Buccaneers,1980,2,1980-09-11,Los Angeles Rams
Tampa Bay Buccaneers,1980,3,1980-09-21,Dallas Cowboys
Tampa Bay Buccaneers,1980,4,1980-09-28,Cleveland Browns
Tampa Bay Buccaneers,1980,5,1980-10-06,Chicago Bears
Tampa Bay Buccaneers,1980,6,1980-10-12,Green Bay Packers
Tampa Bay Buccaneers,1980,7,1980-10-19,Houston Oilers
Tampa Bay Buccaneers,1980,8,1980-10-26,San Francisco 49ers
Tampa Bay Buccaneers,1980,9,1980-11-02,New York Giants
Tampa Bay Buccaneers,1980,10,1980-11-09,Pittsburgh Steelers
Tampa Bay Buccaneers,1980,11,1980-11-16,Minnesota Vikings
Tampa Bay Buccaneers,1980,12,1980-11-23,Detroit Lions
Tampa Bay Buccaneers,1980,13,1980-11-30,Green Bay Packers
Tampa Bay Buccaneers,1980,14,1980-12-07,Minnesota Vikings
Tampa Bay Buccaneers,1980,15,1980-12-14,Detroit Lions
Tampa Bay Buccaneers,1980,16,1980-12-20,Chicago Bears
Tampa Bay Buccaneers,1981,1,1981-09-05,Minnesota Vikings
Tampa Bay Buccaneers,1981,2,1981-09-13,Kansas City Chiefs
Tampa Bay Buccaneers,1981,3,1981-09-20,Chicago Bears
Tampa Bay Buccaneers,1981,4,1981-09-27,St. Louis Cardinals
Tampa Bay Buccaneers,1981,5,1981-10-04,Detroit Lions
Tampa Bay Buccaneers,1981,6,1981-10-11,Green Bay Packers
Tampa Bay Buccaneers,1981,7,1981-10-18,Oakland Raiders
Tampa Bay Buccaneers,1981,8,1981-10-25,Philadelphia Eagles
Tampa Bay Buccaneers,1981,9,1981-11-01,Chicago Bears
Tampa Bay Buccaneers,1981,10,1981-11-08,Minnesota Vikings
Tampa Bay Buccaneers,1981,11,1981-11-15,Denver Broncos
Tampa Bay Buccaneers,1981,12,1981-11-22,Green Bay Packers
Tampa Bay Buccaneers,1981,13,1981-11-29,New Orleans Saints
Tampa Bay Buccaneers,1981,14,1981-12-06,Atlanta Falcons
Tampa Bay Buccaneers,1981,15,1981-12-13,San Diego Chargers
Tampa Bay Buccaneers,1981,16,1981-12-20,Detroit Lions
Tampa Bay Buccaneers,1981,17,1982-01-02,Dallas Cowboys
Tampa Bay Buccaneers,1982,1,1982-09-12,Minnesota Vikings
Tampa Bay Buccaneers,1982,2,1982-09-19,Washington Redskins
Tampa Bay Buccaneers,1982,11,1982-11-21,Dallas Cowboys
Tampa Bay Buccaneers,1982,12,1982-11-29,Miami Dolphins
Tampa Bay Buccaneers,1982,13,1982-12-05,New Orleans Saints
Tampa Bay Buccaneers,1982,14,1982-12-12,New York Jets
Tampa Bay Buccaneers,1982,15,1982-12-19,Buffalo Bills
Tampa Bay Buccaneers,1982,16,1982-12-26,Detroit Lions
Tampa Bay Buccaneers,1982,17,1983-01-02,Chicago Bears
Tampa Bay Buccaneers,1982,18,1983-01-09,Dallas Cowboys
Tampa Bay Buccaneers,1983,1,1983-09-04,Detroit Lions
Tampa Bay Buccaneers,1983,2,1983-09-11,Chicago Bears
Tampa Bay Buccaneers,1983,3,1983-09-18,Minnesota Vikings
Tampa Bay Buccaneers,1983,4,1983-09-25,Cincinnati Bengals
Tampa Bay Buccaneers,1983,5,1983-10-02,Green Bay Packers
Tampa Bay Buccaneers,1983,6,1983-10-09,Dallas Cowboys
Tampa Bay Buccaneers,1983,7,1983-10-16,St. Louis Cardinals
Tampa Bay Buccaneers,1983,8,1983-10-23,New Orleans Saints
Tampa Bay Buccaneers,1983,9,1983-10-30,Pittsburgh Steelers
Tampa Bay Buccaneers,1983,10,1983-11-06,Minnesota Vikings
Tampa Bay Buccaneers,1983,11,1983-11-13,Cleveland Browns
Tampa Bay Buccaneers,1983,12,1983-11-20,Chicago Bears
Tampa Bay Buccaneers,1983,13,1983-11-27,Houston Oilers
Tampa Bay Buccaneers,1983,14,1983-12-04,San Francisco 49ers
Tampa Bay Buccaneers,1983,15,1983-12-12,Green Bay Packers
Tampa Bay Buccaneers,1983,16,1983-12-18,Detroit Lions
Tampa Bay Buccaneers,1984,1,1984-09-02,Chicago Bears
Tampa Bay Buccaneers,1984,2,1984-09-09,New Orleans Saints
Tampa Bay Buccaneers,1984,3,1984-09-16,Detroit Lions
Tampa Bay Buccaneers,1984,4,1984-09-23,New York Giants
Tampa Bay Buccaneers,1984,5,1984-09-30,Green Bay Packers
Tampa Bay Buccaneers,1984,6,1984-10-07,Minnesota Vikings
Tampa Bay Buccaneers,1984,7,1984-10-14,Detroit Lions
Tampa Bay Buccaneers,1984,8,1984-10-21,Chicago Bears
Tampa Bay Buccaneers,1984,9,1984-10-28,Kansas City Chiefs
Tampa Bay Buccaneers,1984,10,1984-11-04,Minnesota Vikings
Tampa Bay Buccaneers,1984,11,1984-11-11,New York Giants
Tampa Bay Buccaneers,1984,12,1984-11-18,San Francisco 49ers
Tampa Bay Buccaneers,1984,13,1984-11-25,Los Angeles Rams
Tampa Bay Buccaneers,1984,14,1984-12-02,Green Bay Packers
Tampa Bay Buccaneers,1984,15,1984-12-09,Atlanta Falcons
Tampa Bay Buccaneers,1984,16,1984-12-16,New York Jets
Tampa Bay Buccaneers,1985,1,1985-09-08,Chicago Bears
Tampa Bay Buccaneers,1985,2,1985-09-15,Minnesota Vikings
