Season,Week,Player,Team,Position,Injuries,Game Status
2011,14,Maurice Jones-Drew,JAX,RB,Not Injury Related,Probable
2011,14,Joe McKnight,NYJ,RB,Elbow,Questionable
2011,14,Darrel Young,WAS,RB,Head,Probable
2011,15,Shonn Greene,NYJ,RB,Rib,Probable
2011,15,Quinn Porter,STL,RB,Abdomen,Questionable
2011,16,Alfonso Smith,ARI,RB,Back,Probable
2011,17,Michael Turner,ATL,RB,Groin,Probable
2011,17,Daniel Thomas,MIA,RB,Knee,Probable
2012,1,Trent Richardson,CLE,RB,Knee,Questionable
2012,1,James Starks,GNB,RB,Toe,Out
2012,2,Chris Ogbonnaya,CLE,RB,Ankle,Probable
2012,2,Da'Rel Scott,NYG,RB,Knee,Probable
2012,2,Ryan Mathews,SDG,RB,Shoulder,Questionable
2012,3,Antone Smith,ATL,RB,Hamstring,Out
2012,5,Bernard Scott,CIN,RB,Ankle,Probable
2012,5,Ben Tate,HOU,RB,Toe,Questionable
2012,6,Ben Tate,HOU,RB,Toe,Probable
2012,6,Peyton Hillis,KAN,RB,Ankle,Out
2012,6,Reggie Bush,MIA,RB,Knee,Probable
2012,7,Joe McKnight,NYJ,RB,Ankle,Questionable
2012,7,Javon Ringer,TEN,RB,Knee,Out
2012,8,Adrian Peterson,MIN,RB,Ankle,Probable
2012,8,Brandon Bolden,NWE,RB,Knee,Out
2012,8,Mike Goodson,OAK,RB,Hip,Probable
2012,8,Jonathan Dwyer,PIT,RB,Not Injury Related,Probable
2012,9,Chris Ogbonnaya,CLE,RB,"Chest, Ribs",Probable
2012,9,Darren Sproles,NOR,RB,Hand,Out
2012,10,Jason Snelling,ATL,RB,Illness,Probable
2012,10,Mike Tolbert,CAR,RB,Head,Probable
2012,10,Mikel Leshoure,DET,RB,Ankle,Probable
2012,10,Montell Owens,JAX,RB,Shoulder,Probable
2012,10,Darren Sproles,NOR,RB,Hand,Out
2012,11,Fred Jackson,BUF,RB,Concussion,Out
2012,12,Corey McIntyre,BUF,RB,Knee,Questionable
2012,12,Darren Sproles,NOR,RB,Hand,Probable
2012,12,Marcel Reece,OAK,RB,"Hamstring, Quadricep",Probable
2012,13,Trent Richardson,CLE,RB,Chest/Rib/Finger,Probable
2012,13,DeMarco Murray,DAL,RB,Foot,Questionable
2012,13,Chris Polk,PHI,RB,Toe,Out
2012,13,Steven Jackson,STL,RB,Foot,Probable
2012,14,Chris Wells,ARI,RB,Knee,Questionable
2012,14,DeMarco Murray,DAL,RB,Foot,Probable
2012,14,Marshawn Lynch,SEA,RB,Back,Probable
2012,14,Steven Jackson,STL,RB,Foot,Probable
2012,15,Michael Bush,CHI,RB,Ribs,Questionable
2012,15,Jed Collins,NOR,RB,Toe,Questionable
2012,15,Stanley Havili,PHI,RB,Ankle,Probable
2012,15,Bruce Miller,SFO,RB,Shoulder,Probable
2012,16,Montario Hardesty,CLE,RB,Knee,Probable
2012,17,Vonta Leach,BAL,RB,Ankle,Questionable
2012,17,C.J. Spiller,BUF,RB,Shoulder,Probable
2012,17,Delone Carter,IND,RB,Ankle,Out
2012,17,Ronnie Brown,SDG,RB,Hamstring,Questionable
2012,17,Bruce Miller,SFO,RB,Shoulder,Probable
2013,1,Henry Hynoski,NYG,RB,Knee,Questionable
2013,2,Bernard Pierce,BAL,RB,Thigh,Questionable
2013,3,Steven Jackson,ATL,RB,Hamstring,Out
2013,3,Daryl Richardson,STL,RB,Foot,Probable
2013,5,Anthony Sherman,KAN,RB,Knee,Probable
2013,5,Brandon Bolden,NWE,RB,Knee,Questionable
2013,5,Darren McFadden,OAK,RB,Hamstring,Doubtful
2013,7,C.J. Spiller,BUF,RB,Ankle,Probable
2013,7,Kenjon Barner,CAR,RB,Foot,Probable
2013,8,Jason Snelling,ATL,RB,Ankle,Out
2013,8,David Wilson,NYG,RB,Neck,Out
2013,9,Ben Tate,HOU,RB,Ribs,Probable
2013,9,Leon Washington,NWE,RB,Ankle,Questionable
2013,10,Brandon Jacobs,NYG,RB,"Hamstring, Knee",Doubtful
2013,10,Derrick Coleman,SEA,RB,Hamstring,Out
2013,11,Reggie Bush,DET,RB,Knee,Probable
2013,11,Brandon Jacobs,NYG,RB,"Hamstring, Knee",Questionable
2013,11,Le'Ron McClain,SDG,RB,Ankle,Questionable
2013,12,Fozzy Whittaker,CLE,RB,Ankle,Probable
2013,13,Darren Sproles,NOR,RB,Ankle,Probable
2013,14,Brandon Bolden,NWE,RB,Not Injury Related,Probable
2013,15,Anthony Sherman,KAN,RB,"Knee, Ankle",Probable
2013,15,Toby Gerhart,MIN,RB,Hamstring,Questionable
2013,15,Rashad Jennings,OAK,RB,Concussion,Probable
2013,16,Ray Rice,BAL,RB,Thigh,Questionable
2013,16,Adrian Peterson,MIN,RB,"Groin, Foot",Questionable
2013,16,Darren McFadden,OAK,RB,"Knee, Ankle",Probable
2014,1,Storm Johnson,JAX,RB,Ankle,Out
2014,2,Ben Tate,CLE,RB,Knee,Out
2014,2,Knowshon Moreno,MIA,RB,Shoulder,Probable
2014,3,Joseph Randle,DAL,RB,Concussion,Questionable
2014,4,DeAngelo Williams,CAR,RB,Thigh,Probable
2014,4,Joe McKnight,KAN,RB,Achilles,Out
2014,6,DeAngelo Williams,CAR,RB,Ankle,Out
2014,7,Juwan Thompson,DEN,RB,Knee,Probable
2014,7,Lamar Miller,MIA,RB,Knee,Probable
2014,7,Erik Lorig,NOR,RB,Ankle,Probable
2014,8,Chris Ogbonnaya,CAR,RB,Groin,Questionable
2014,9,Justin Forsett,BAL,RB,Ankle,Probable
2014,9,Donald Brown,SDG,RB,Concussion,Probable
2014,11,Ronnie Hillman,DEN,RB,Foot,Out
2014,11,Edwin Baker,NOR,RB,Concussion,Out
2014,12,Arian Foster,HOU,RB,Groin,Questionable
2014,12,Pierre Thomas,NOR,RB,"Rib, Shoulder",Probable
2014,13,Montee Ball,DEN,RB,Groin,Out
2014,13,Juwan Thompson,DEN,RB,Knee,Probable
2014,13,Lamar Miller,MIA,RB,Knee,Probable
2014,14,Mark Ingram,NOR,RB,"Ankle, Toe",Probable
2014,14,Marshawn Lynch,SEA,RB,Back,Probable
2014,15,Glenn Winston,CLE,RB,Illness,Probable
2014,16,Anthony Dixon,BUF,RB,Chest,Probable
2014,16,Chris Polk,PHI,RB,Ankle,Probable
2015,1,Marshawn Lynch,SEA,RB,Not Injury Related,Probable
2015,2,LeSean McCoy,BUF,RB,Hamstring,Questionable
2015,2,Travaris Cadet,NWE,RB,Hamstring,Probable
2015,3,Jamize Olawale,OAK,RB,Ankle,Questionable
2015,4,Chris Ivory,NYJ,RB,Quadricep,Probable
2015,5,Duke Johnson,CLE,RB,Ankle,Probable
2015,5,Denard Robinson,JAX,RB,Knee,Out
2015,6,Devonta Freeman,ATL,RB,Toe,Probable
2015,7,T.J. Yeldon,JAX,RB,Groin,Questionable
2015,8,Dion Lewis,NWE,RB,Abdomen,Questionable
2015,9,Orleans Darkwa,NYG,RB,Back,Probable
2015,9,Carlos Hyde,SFO,RB,Foot,Out
2015,10,DeMarco Murray,PHI,RB,Groin,Probable
2015,11,Damien Williams,MIA,RB,"Ankle, Hand",Probable
2015,12,Devonta Freeman,ATL,RB,Concussion,Out
2015,12,Matt Forte,CHI,RB,Knee,Questionable
2015,12,Eddie Lacy,GNB,RB,Ankle,Probable
2015,13,Taiwan Jones,OAK,RB,Knee,Doubtful
2015,13,Marshawn Lynch,SEA,RB,Abdomen,Out
2015,14,Jonathan Stewart,CAR,RB,Not Injury Related,Probable
2015,15,Jonathan Stewart,CAR,RB,Foot,Out
2015,15,Taiwan Jones,OAK,RB,Knee,Probable
2015,15,DeAngelo Williams,PIT,RB,Illness,Probable
2015,16,T.J. Yeldon,JAX,RB,Knee,Doubtful
2015,17,Tevin Coleman,ATL,RB,Concussion,Out
2015,17,Chris Thompson,WAS,RB,Shoulder,Probable
2016,1,Matt Jones,WAS,RB,Shoulder,Questionable
2016,3,Doug Martin,TAM,RB,Hamstring,Out
2016,7,Carlos Hyde,SFO,RB,Shoulder,Out
2016,8,Lance Dunbar,DAL,RB,Knee,Questionable
2016,8,C.J. Anderson,DEN,RB,Knee,Out
2016,9,Jerick McKinnon,MIN,RB,Ankle,Questionable
2016,9,Taiwan Jones,OAK,RB,Knee,Questionable
2016,9,Thomas Rawls,SEA,RB,Fibula,Out
2016,10,Christine Michael,SEA,RB,Hamstring,Questionable
2016,11,Jay Prosch,HOU,RB,Hamstring,Questionable
2016,11,DeAngelo Williams,PIT,RB,Knee,Out
2016,12,Theo Riddick,DET,RB,Ankle,Questionable
2016,12,Troymaine Pope,SEA,RB,Ankle,Out
2016,13,Chris Thompson,WAS,RB,Illness,Questionable
2016,15,Aaron Ripkowski,GNB,RB,Back,Questionable
2016,15,Denard Robinson,JAX,RB,Ankle,Out
2017,1,T.J. Yeldon,JAX,RB,Hamstring,Questionable
2017,3,Marlon Mack,IND,RB,Shoulder,Out
2017,3,Malcolm Brown,LAR,RB,Hamstring,Questionable
2017,3,Jay Ajayi,MIA,RB,Knee,Questionable
2017,7,Jamize Olawale,OAK,RB,Concussion,Questionable
2017,7,Kyle Juszczyk,SFO,RB,Back,Out
