Season,Week,Player,Team,Position,Injuries,Game Status
2013,13,Shane Vereen,NWE,RB,Wrist,Probable
2013,14,Quinn Johnson,TEN,RB,Hamstring,Probable
2013,15,BenJarvus Green-Ellis,CIN,RB,Illness,Probable
2013,15,Adrian Peterson,MIN,RB,"Groin, Foot",Questionable
2013,16,Rashard Mendenhall,ARI,RB,Finger,Probable
2013,16,Eddie Lacy,GNB,RB,Ankle,Probable
2013,16,Chris Johnson,TEN,RB,Knee,Probable
2013,16,Darrel Young,WAS,RB,Hamstring,Questionable
2013,17,Willis McGahee,CLE,RB,Knee,Probable
2014,1,Bernard Pierce,BAL,RB,Concussion,Probable
2014,2,Le'Veon Bell,PIT,RB,Not Injury Related,Probable
2014,3,Marshawn Lynch,SEA,RB,Back,Probable
2014,4,C.J. Spiller,BUF,RB,Chest,Probable
2014,4,Damien Williams,MIA,RB,Ankle,Questionable
2014,5,Mark Ingram,NOR,RB,Hand,Out
2014,7,Andre Ellington,ARI,RB,Foot,Probable
2014,7,Marcel Reece,OAK,RB,Quadricep,Questionable
2014,7,Will Johnson,PIT,RB,Illness,Probable
2014,8,Cyrus Gray,KAN,RB,Hand,Probable
2014,8,Bilal Powell,NYJ,RB,Foot,Probable
2014,8,Marshawn Lynch,SEA,RB,Not Injury Related,Probable
2014,9,Pierre Thomas,NOR,RB,"Rib, Shoulder",Out
2014,10,Doug Martin,TAM,RB,Ankle,Doubtful
2014,10,Charles Sims,TAM,RB,Ankle,Questionable
2014,11,Lamar Miller,MIA,RB,Shoulder,Probable
2014,11,Jerick McKinnon,MIN,RB,Back,Probable
2014,11,Pierre Thomas,NOR,RB,"Rib, Shoulder",Out
2014,11,Mark Ingram,NOR,RB,Shoulder,Probable
2014,11,Frank Gore,SFO,RB,Hip,Probable
2014,12,Kyle Juszczyk,BAL,RB,Foot,Probable
2014,12,Giovani Bernard,CIN,RB,Hip,Probable
2014,12,Matt Asiata,MIN,RB,Concussion,Out
2014,12,Marshawn Lynch,SEA,RB,Back,Probable
2014,14,Justin Forsett,BAL,RB,Knee,Questionable
2014,15,Lorenzo Taliaferro,BAL,RB,Foot,Questionable
2014,15,Jonathan Stewart,CAR,RB,Hip,Probable
2014,17,Chris Johnson,NYJ,RB,Knee,Probable
2015,1,Vick Ballard,IND,RB,Hamstring,Out
2015,2,Justin Forsett,BAL,RB,Shoulder,Probable
2015,2,Arian Foster,HOU,RB,Groin,Out
2015,2,Jerick McKinnon,MIN,RB,Ankle,Probable
2015,2,Marshawn Lynch,SEA,RB,Not Injury Related,Probable
2015,3,Aaron Ripkowski,GNB,RB,Shoulder,Questionable
2015,3,Eddie Lacy,GNB,RB,Ankle,Questionable
2015,4,Orleans Darkwa,NYG,RB,Knee,Probable
2015,4,Jamize Olawale,OAK,RB,Ankle,Probable
2015,5,Lorenzo Taliaferro,BAL,RB,Foot,Probable
2015,5,Frank Gore,IND,RB,Foot,Probable
2015,5,Latavius Murray,OAK,RB,Shoulder,Probable
2015,6,Isaiah Crowell,CLE,RB,Toe,Questionable
2015,6,Robert Turbin,CLE,RB,Ankle,Questionable
2015,6,Arian Foster,HOU,RB,Groin,Probable
2015,6,Denard Robinson,JAX,RB,Knee,Probable
2015,6,Bilal Powell,NYJ,RB,Groin,Questionable
2015,6,Marshawn Lynch,SEA,RB,Hamstring,Questionable
2015,7,Taiwan Jones,OAK,RB,Foot,Probable
2015,7,Marshawn Lynch,SEA,RB,Hamstring,Probable
2015,8,Joseph Randle,DAL,RB,Back,Out
2015,10,Ronnie Hillman,DEN,RB,Quadricep,Probable
2015,10,Stevan Ridley,NYJ,RB,Knee,Probable
2015,10,Latavius Murray,OAK,RB,Concussion,Probable
2015,10,Dexter McCluster,TEN,RB,Ankle,Probable
2015,11,T.J. Yeldon,JAX,RB,Foot,Questionable
2015,11,Matt Asiata,MIN,RB,Quadricep,Probable
2015,12,Frank Gore,IND,RB,Ankle,Probable
2015,12,Alfred Morris,WAS,RB,Rib,Probable
2015,13,Will Tukuafu,SEA,RB,Concussion,Questionable
2015,15,Ronnie Hillman,DEN,RB,Foot,Probable
2015,15,Damien Williams,MIA,RB,Back,Probable
2015,15,Todd Gurley,STL,RB,Not Injury Related,Probable
2015,16,Karlos Williams,BUF,RB,Shoulder,Probable
2015,17,Pierre Thomas,WAS,RB,Knee,Questionable
2016,1,Paul Lasike,CHI,RB,Wrist,Questionable
2016,2,Kenneth Dixon,BAL,RB,Knee,Out
2016,5,Robert Turbin,IND,RB,"Wrist, Shoulder",Questionable
2016,6,Dwayne Washington,DET,RB,Ankle,Questionable
2016,6,C.J. Prosise,SEA,RB,Wrist,Questionable
2016,7,Dwayne Washington,DET,RB,Ankle,Questionable
2016,7,Jamaal Charles,KAN,RB,Knee,Questionable
2016,7,Doug Martin,TAM,RB,Hamstring,Out
2016,9,LeSean McCoy,BUF,RB,Hamstring,Questionable
2016,9,James Starks,GNB,RB,Knee,Out
2016,9,Spencer Ware,KAN,RB,Concussion,Out
2016,9,Bobby Rainey,NYG,RB,Calf,Questionable
2016,10,Daniel Lasco,NOR,RB,Hamstring,Questionable
2016,12,Kenyan Drake,MIA,RB,Knee,Questionable
2016,13,Javorius Allen,BAL,RB,non football injury,Doubtful
2016,13,Mike Gillislee,BUF,RB,Hamstring,Questionable
2016,15,Melvin Gordon,SDG,RB,"Hip, Knee",Out
2016,16,Adrian Peterson,MIN,RB,"Knee, Groin",Out
2016,17,Jonathan Stewart,CAR,RB,Foot,Questionable
2017,1,Devontae Booker,DEN,RB,Wrist,Out
2017,2,Jordan Howard,CHI,RB,Shoulder,Questionable
2017,3,Terrance West,BAL,RB,Calf,Questionable
2017,4,Marlon Mack,IND,RB,Shoulder,Out
2017,6,Wendell Smallwood,PHI,RB,Knee,Questionable
2017,11,Dwayne Washington,DET,RB,Hip,Out
2017,13,Patrick DiMarco,BUF,RB,Ankle,Questionable
2017,13,Christian McCaffrey,CAR,RB,Shoulder,Questionable
2017,14,Matt Forte,NYJ,RB,Knee,Questionable
2017,17,Dan Vitale,CLE,RB,Groin,Out
2017,17,Akeem Judd,NYJ,RB,Ankle,Questionable
2018,1,DeAndre Washington,OAK,RB,Knee,Out
2018,2,Darren Sproles,PHI,RB,Hamstring,Out
2018,4,Darren Sproles,PHI,RB,Hamstring,Out
2018,6,Leonard Fournette,JAX,RB,Hamstring,Out
2018,9,Ronald Jones,TAM,RB,Hamstring,Out
2018,10,Kerryon Johnson,DET,RB,Ankle,Questionable
2018,13,Nick Bellore,DET,RB,Ankle,Out
2018,13,Melvin Gordon,LAC,RB,Knee,Out
2018,14,Nick Bellore,DET,RB,Ankle,Questionable
2018,14,David Fluellen,TEN,RB,Knee,Out
2018,15,Austin Ekeler,LAC,RB,"Neck, Concussion",Out
2018,15,Matt Breida,SFO,RB,Ankle,Questionable
2018,17,C.J. Ham,MIN,RB,Elbow,Out
2019,2,Dontrell Hilliard,CLE,RB,Concussion,Out
2019,2,Tevin Coleman,SFO,RB,Ankle,Out
2019,3,Taiwan Jones,HOU,RB,Hamstring,Questionable
2019,3,James Develin,NWE,RB,Neck,Out
2019,3,Corey Clement,PHI,RB,Shoulder,Out
2019,4,Andy Janovich,DEN,RB,Pectoral,Questionable
2019,6,Rex Burkhead,NWE,RB,Foot,Questionable
2019,6,Corey Clement,PHI,RB,Shoulder,Out
2019,8,Ito Smith,ATL,RB,"Concussion, Neck",Out
2019,10,Ito Smith,ATL,RB,Neck,Out
2019,11,Justin Jackson,LAC,RB,Calf,Doubtful
2019,13,Damien Williams,KAN,RB,Rib,Out
2019,16,Chandler Cox,MIA,RB,Shoulder,Questionable
2020,4,Zack Moss,BUF,RB,Toe,Questionable
2020,6,Dalvin Cook,MIN,RB,Groin,Out
2020,7,Justin Jackson,LAC,RB,Knee,Questionable
2020,9,Chris Carson,SEA,RB,Foot,Out
2020,9,Carlos Hyde,SEA,RB,Hamstring,Out
2020,12,Giovani Bernard,CIN,RB,Concussion,Questionable
2020,13,Clyde Edwards-Helaire,KAN,RB,Illness,Questionable
2020,16,Patrick Ricard,BAL,RB,Knee,Questionable
2020,16,Royce Freeman,DEN,RB,Hip,Questionable
2020,17,Christian McCaffrey,CAR,RB,Thigh,Doubtful
2020,17,Duke Johnson,HOU,RB,Neck,Questionable
2021,4,Darrell Henderson,LAR,RB,Ribs,Questionable
2021,6,Chase Edmonds,ARI,RB,Shoulder,Questionable
2021,6,Ryan Nall,CHI,RB,Ankle,Questionable
2021,7,Giovanni Ricci,CAR,FB,Concussion,Out
2021,7,Brandon Bolden,NWE,RB,Thigh,Questionable
2021,8,Miles Sanders,PHI,RB,"Ankle, Foot",Out
2021,11,James Robinson,JAX,RB,"Heel, Knee",Questionable
2021,12,Rhamondre Stevenson,NWE,RB,Knee,Questionable
2021,13,Reggie Gilliam,BUF,FB,Ankle,Questionable
2021,13,Chris Evans,CIN,RB,Ankle,Doubtful
2021,13,J.D. McKissic,WAS,RB,Concussion,Out
2021,14,Tony Pollard,DAL,RB,Foot,Questionable
2021,14,Elijah Mitchell,SFO,RB,"Concussion, Knee",Out
2021,15,Rex Burkhead,HOU,RB,"Hip, Quadricep",Questionable
2021,15,Carlos Hyde,JAX,RB,Concussion,Out
2021,17,James Conner,ARI,RB,Heel,Questionable
2021,17,Javonte Williams,DEN,RB,Knee,Questionable
2021,18,Miles Sanders,PHI,RB,Hand,Out
2022,2,D'Andre Swift,DET,RB,Ankle,Questionable
2022,2,Alvin Kamara,NOR,RB,Rib,Questionable
2022,4,David Montgomery,CHI,RB,"Ankle, Knee",Out
2022,5,Justice Hill,BAL,RB,Hamstring,Out
2022,5,Tyrion Davis-Price,SFO,RB,Ankle,Out
2022,13,Rex Burkhead,HOU,RB,Concussion,Questionable
2022,13,Josh Jacobs,LVR,RB,Calf,Questionable
2022,16,Damien Harris,NWE,RB,Thigh,Questionable
2022,18,Josh Jacobs,LVR,RB,"Hip, Not injury related - personal matter",Questionable
2023,1,Zack Moss,IND,RB,Forearm,Questionable
2023,3,Saquon Barkley,NYG,RB,Ankle,Out
2023,4,Keaontay Ingram,ARI,RB,Neck,Questionable
2023,4,Austin Ekeler,LAC,RB,Ankle,Doubtful
2023,5,Rhamondre Stevenson,NWE,RB,Thigh,Questionable
2023,6,Alec Ingold,MIA,FB,Foot,Questionable
2023,7,Jamaal Williams,NOR,RB,Hamstring,Questionable
2023,9,Keith Smith,ATL,FB,Concussion,Out
2023,14,Rhamondre Stevenson,NWE,RB,Ankle,Out
2023,15,Jonathan Taylor,IND,RB,Thumb,Out
2023,15,Christopher Brooks,MIA,RB,Knee,Questionable
2023,15,Alexander Mattison,MIN,RB,Ankle,Out
2023,17,Alvin Kamara,NOR,RB,Illness,Questionable
2024,1,Emanuel Wilson,GNB,RB,Hip,Questionable
2024,6,Rhamondre Stevenson,NWE,RB,Foot,Out
2024,7,Travis Etienne,JAX,RB,Hamstring,Questionable
2024,8,Jonathon Brooks,CAR,RB,Knee,Doubtful
2024,8,Tyjae Spears,TEN,RB,Hamstring,Questionable
2024,10,D'Ernest Johnson,JAX,RB,Hamstring,Questionable
2024,12,Miles Sanders,CAR,RB,Ankle,Out
2024,13,Zamir White,LVR,RB,Quadricep,Out
2024,15,Kenneth Walker,SEA,RB,Calf,Doubtful
2024,16,Alvin Kamara,NOR,RB,Groin,Out
2024,17,Gus Edwards,LAC,RB,Ankle,Out
2024,18,Alvin Kamara,NOR,RB,Groin,Doubtful
2024,18,Tony Pollard,TEN,RB,Ankle,Questionable
2004,15,Kevan Barlow,SFO,RB,Knee,Questionable
2004,16,Chris Brown,TEN,RB,Toe,Out
2005,16,Larry Johnson,KAN,RB,Clavicle,Probable
2005,16,LaDainian Tomlinson,SDG,RB,Chest,Questionable
2008,1,Jamal Lewis,CLE,RB,Hamstring,Questionable
2008,12,Michael Robinson,SFO,RB,stinger,Probable
2008,12,Leonard Weaver,SEA,RB,Rib,Probable
2010,16,DeShawn Wynn,NOR,RB,Ankle,Probable
2008,15,Ovie Mughelli,ATL,RB,Hamstring,Questionable
2008,1,Aaron Stecker,NOR,RB,Hamstring,Questionable
2010,8,Julius Jones,SEA,RB,Shoulder,Probable
2008,12,Peyton Hillis,DEN,RB,Shoulder,Probable
2008,14,Correll Buckhalter,PHI,RB,Knee,Doubtful
2008,13,Correll Buckhalter,PHI,RB,Knee,Doubtful
2008,12,Kevin Smith,DET,RB,Groin,Probable
2008,10,Steven Jackson,STL,RB,Thigh,Doubtful
2011,1,Tashard Choice,WAS,RB,Knee,Probable
2015,2,Travaris Cadet,SFO,RB,Hamstring,Probable
2015,10,Rod Smith,SEA,RB,Illness,Probable
2018,9,Kapri Bibbs,GNB,RB,Shoulder,Questionable
2013,7,Leon Washington,TEN,RB,Ankle,Out
2024,5,British Brooks,HOU,RB,Knee,Out
2023,14,Chris Brooks,MIA,RB,Knee,Questionable
2024,15,Jaleel McLaughlin,DEN,RB,Quadricep,Questionable
2024,11,Raheem Mostert,MIA,RB,Hip,Questionable
2023,4,Breece Hall,NYJ,RB,,Questionable
2024,6,Darrynton Evans,CHI,RB,Hamstring,Out
2024,15,Kenneth Walker III,SEA,RB,Calf,Doubtful
2024,14,Travis Homer,CHI,RB,Head,Questionable
2024,2,Rachaad White,TAM,RB,Groin,Questionable
2024,4,Cordarrelle Patterson,PIT,RB,Ankle,Out
2024,11,Tyjae Spears,TEN,RB,gameday concussion protocol evaluation,Questionable
2001,11,Troy Hambrick,DAL,RB,Shoulder,Probable
2001,6,Fred Taylor,JAX,RB,Groin,Out
2002,1,Delvin Joyce,NYG,RB,Quadricep,Questionable
2009,1,Jerome Harrison,CLE,RB,Knee,Questionable
2009,2,Danny Ware,NYG,RB,Elbow,Out
2009,3,Maurice Jones-Drew,JAX,RB,Knee,Probable
2009,4,Ahmad Bradshaw,NYG,RB,"Ankle, Foot",Probable
2009,4,Carnell Williams,TAM,RB,Knee,Probable
2009,4,LenDale White,TEN,RB,Illness,Probable
2009,4,Clinton Portis,WAS,RB,Calf,Questionable
2009,5,Ahmad Bradshaw,NYG,RB,"Ankle, Foot",Probable
2009,5,Oren O'Neal,OAK,RB,Ankle,Out
2009,6,Jerome Felton,DET,RB,Shoulder,Questionable
2009,6,Maurice Morris,DET,RB,Hip,Questionable
2009,6,Korey Hall,GNB,RB,Calf,Out
2009,6,Mike Bell,NOR,RB,Knee,Probable
2009,7,LaDainian Tomlinson,SDG,RB,Illness,Probable
2009,7,Clifton Smith,TAM,RB,Concussion,Questionable
2009,8,Jerome Felton,DET,RB,Ankle,Questionable
2009,8,Donald Brown,IND,RB,Shoulder,Doubtful
2009,10,Michael Robinson,SFO,RB,Shoulder,Probable
2009,11,Dantrell Savage,KAN,RB,Ankle,Doubtful
2009,12,Lawrence Vickers,CLE,RB,Hamstring,Questionable
2009,13,Adrian Peterson,MIN,RB,Ankle,Probable
2009,13,Reggie Bush,NOR,RB,Knee,Questionable
2009,14,Jason Wright,ARI,RB,Illness,Probable
2009,14,Deon Anderson,DAL,RB,Knee,Probable
2009,14,Fred Taylor,NWE,RB,Ankle,Questionable
2009,14,Lynell Hamilton,NOR,RB,Shoulder,Probable
2009,15,Arian Foster,HOU,RB,Ribs,Probable
2009,16,Lawrence Vickers,CLE,RB,Hamstring,Probable
2009,16,Deon Anderson,DAL,RB,"Knee, Illness",Probable
2009,16,Chad Simpson,IND,RB,Chest,Probable
2009,16,Reggie Bush,NOR,RB,Hamstring,Probable
2009,17,Ricky Williams,MIA,RB,Shoulder,Questionable
2009,17,Justin Fargas,OAK,RB,Knee,Doubtful
2010,4,Pierre Thomas,NOR,RB,Ankle,Questionable
2010,5,Reggie Bush,NOR,RB,Fibula,Out
2010,6,Andre Brown,DEN,RB,Illness,Probable
2010,6,Jahvid Best,DET,RB,Toe,Probable
2010,7,Ray Rice,BAL,RB,Ankle,Probable
2010,8,Earnest Graham,TAM,RB,Hamstring,Probable
2010,9,Jahvid Best,DET,RB,Toe,Probable
2010,9,Joseph Addai,IND,RB,Neck,Doubtful
2010,9,Mike Hart,IND,RB,Ankle,Questionable
2010,10,Marshawn Lynch,SEA,RB,Thigh,Probable
2010,11,Corey McIntyre,BUF,RB,Ankle,Questionable
2010,11,Madison Hedgecock,NYG,RB,Hamstring,Out
2010,12,LeSean McCoy,PHI,RB,Shoulder,Probable
2010,12,Ryan Mathews,SDG,RB,Ankle,Doubtful
2010,12,Ryan Torain,WAS,RB,Hamstring,Out
2010,13,Ladell Betts,NOR,RB,Neck,Out
2010,13,Pierre Thomas,NOR,RB,Ankle,Questionable
2010,13,LeSean McCoy,PHI,RB,Shoulder,Probable
2010,15,Chris Wells,ARI,RB,Illness,Probable
2010,15,Spencer Larsen,DEN,RB,Hamstring,Probable
2010,15,Mike Hart,IND,RB,Ankle,Questionable
2010,15,Brian Westbrook,SFO,RB,Not Injury Related,Probable
2010,16,Chris Ivory,NOR,RB,Hamstring,Questionable
2010,16,Brian Westbrook,SFO,RB,Not Injury Related,Probable
2010,17,LaRod Stephens-Howling,ARI,RB,Hamstring,Questionable
2010,17,Anthony Dixon,SFO,RB,Ankle,Probable
2011,1,Charles Clay,MIA,RB,Hamstring,Out
2011,3,Ben Tate,HOU,RB,Back,Probable
2011,3,Mike Tolbert,SDG,RB,Calf,Probable
2011,4,Michael Robinson,SEA,RB,Ankle,Probable
2011,7,Daniel Thomas,MIA,RB,Hamstring,Probable
2011,8,Chris Wells,ARI,RB,Knee,Questionable
2011,8,Brandon Jacobs,NYG,RB,Knee,Probable
2011,8,Mike Sellers,WAS,RB,Back,Out
2011,9,Kevin Faulk,NWE,RB,Knee,Questionable
2011,9,Owen Schmitt,PHI,RB,Groin,Probable
2011,9,Tashard Choice,WAS,RB,Hamstring,Out
2011,9,Mike Sellers,WAS,RB,Back,Probable
2011,12,Peyton Hillis,CLE,RB,Hamstring,Questionable
2011,12,Willis McGahee,DEN,RB,Hand,Probable
2011,12,Carnell Williams,STL,RB,Calf,Questionable
2011,13,Chris Wells,ARI,RB,Knee,Probable
2011,13,Cedric Benson,CIN,RB,Foot,Probable
2011,13,Tony Fiammetta,DAL,RB,Illness,Out
2011,13,Lawrence Vickers,HOU,RB,Hamstring,Questionable
2011,16,Ronnie Brown,PHI,RB,Hamstring,Probable
2011,17,Shonn Greene,NYJ,RB,Rib,Probable
2012,1,Lorenzo Booker,CHI,RB,Head,Questionable
2012,1,Ahmad Bradshaw,NYG,RB,Hand,Probable
2012,2,Jonathan Stewart,CAR,RB,Ankle,Questionable
2012,2,DeMarco Murray,DAL,RB,Wrist,Probable
2012,2,Brandon Jacobs,SFO,RB,Knee,Questionable
2012,3,Marshawn Lynch,SEA,RB,Back,Probable
2012,4,Montell Owens,JAX,RB,Concussion,Probable
2012,4,Ahmad Bradshaw,NYG,RB,Neck,Probable
2012,5,Anthony Sherman,ARI,RB,Hamstring,Probable
2012,5,Matt Forte,CHI,RB,Ankle,Probable
2012,6,Chris Gronkowski,DEN,RB,Thigh,Probable
2012,6,Mewelde Moore,IND,RB,Ankle,Probable
2012,7,Brian Leonard,CIN,RB,Ribs,Doubtful
2012,7,Donald Brown,IND,RB,Knee,Out
2012,7,Bilal Powell,NYJ,RB,Shoulder,Doubtful
2012,9,DeAndre Levy,DET,RB,Hamstring,Questionable
2012,9,Nate Eachus,KAN,RB,Head,Out
2012,9,Taiwan Jones,OAK,RB,Knee,Questionable
2012,9,Baron Batch,PIT,RB,Shin,Probable
2012,10,Jonathan Dwyer,PIT,RB,Quadricep,Probable
2012,11,Bilal Powell,NYJ,RB,Concussion,Questionable
2012,12,Donald Brown,IND,RB,Knee,Probable
2012,12,Darren McFadden,OAK,RB,Ankle,Out
2012,12,Frank Gore,SFO,RB,"Wrist, Ribs",Probable
2012,13,Matt Forte,CHI,RB,Ankle,Probable
2012,13,Darren McFadden,OAK,RB,Ankle,Questionable
2012,14,Darren McFadden,OAK,RB,Ankle,Probable
2012,14,Will Johnson,PIT,RB,Concussion,Probable
2012,16,Vonta Leach,BAL,RB,Ankle,Questionable
2012,16,Mikel Leshoure,DET,RB,Calf,Probable
2012,16,Chris Ivory,NOR,RB,Hamstring,Questionable
2012,16,Leon Washington,SEA,RB,Illness,Probable
2012,16,Frank Gore,SFO,RB,Wrist,Probable
2012,17,BenJarvus Green-Ellis,CIN,RB,Illness,Probable
2012,17,Ben Tate,HOU,RB,Hamstring,Probable
2012,17,Jed Collins,NOR,RB,Knee,Probable
2013,1,Quinn Johnson,TEN,RB,Quadricep,Doubtful
2013,2,Lance Dunbar,DAL,RB,Foot,Probable
2013,2,Ben Tate,HOU,RB,Shoulder,Probable
2013,2,Leon Washington,NWE,RB,Thigh,Questionable
2013,3,Spencer Ware,SEA,RB,Ankle,Doubtful
2013,3,LaMichael James,SFO,RB,Knee,Questionable
2013,4,C.J. Spiller,BUF,RB,Quadricep,Probable
2013,4,Leon Washington,NWE,RB,Thigh,Questionable
2013,4,Chris Ivory,NYJ,RB,Hamstring,Out
2013,5,C.J. Spiller,BUF,RB,Ankle,Questionable
2013,5,John Kuhn,GNB,RB,Hamstring,Probable
2013,5,Marcel Reece,OAK,RB,Knee,Questionable
2013,6,Bernard Pierce,BAL,RB,Thigh,Questionable
2013,6,Lance Dunbar,DAL,RB,Hamstring,Out
2013,6,Leon Washington,NWE,RB,Ankle,Out
2013,6,Rashad Jennings,OAK,RB,Hamstring,Questionable
2013,6,Darren McFadden,OAK,RB,Hamstring,Questionable
2013,7,Willis McGahee,CLE,RB,Knee,Probable
2013,7,Arian Foster,HOU,RB,"Thumb, Chest/Hamstring",Probable
2013,7,Leon Washington,NWE,RB,Ankle,Out
2013,7,Marshawn Lynch,SEA,RB,Hip,Probable
2013,7,Benny Cunningham,STL,RB,Ankle,Out
2013,8,Alfonso Smith,ARI,RB,Hamstring,Probable
2013,8,Mark Ingram,NOR,RB,Toe,Questionable
2013,9,Lance Dunbar,DAL,RB,Hamstring,Probable
2013,11,Steven Jackson,ATL,RB,Toe,Probable
2013,11,Maurice Jones-Drew,JAX,RB,Knee,Probable
2013,12,Anthony Sherman,KAN,RB,Knee,Probable
2013,12,Frank Gore,SFO,RB,Ankle,Probable
2013,13,Chris Ivory,NYJ,RB,Ankle,Probable
2013,13,Darren McFadden,OAK,RB,Hamstring,Questionable
2013,14,Ben Tate,HOU,RB,"Ribs, Ankle",Probable
2013,14,Shane Vereen,NWE,RB,Wrist,Probable
2013,14,Frank Gore,SFO,RB,Ankle,Probable
2013,17,Jacquizz Rodgers,ATL,RB,Concussion,Out
2014,2,Storm Johnson,JAX,RB,Ankle,Out
2014,2,De'Anthony Thomas,KAN,RB,Hamstring,Out
2014,3,Cyrus Gray,KAN,RB,Foot,Probable
2014,4,Bernard Pierce,BAL,RB,Thigh,Probable
2014,5,Theo Riddick,DET,RB,Hamstring,Out
2014,5,Jerome Felton,MIN,RB,Knee,Probable
2014,5,Ryan Mathews,SDG,RB,Knee,Out
2014,5,Frank Gore,SFO,RB,Back,Probable
2014,6,Montee Ball,DEN,RB,Groin,Out
2014,6,Rashad Jennings,NYG,RB,Knee,Out
2014,6,Chris Johnson,NYJ,RB,Ankle,Probable
2014,7,Reggie Bush,DET,RB,Ankle,Probable
2014,7,Donald Brown,SDG,RB,Concussion,Out
2014,7,Marshawn Lynch,SEA,RB,Not Injury Related,Probable
2014,8,Theo Riddick,DET,RB,Hamstring,Probable
2014,8,Khiry Robinson,NOR,RB,Forearm,Out
2014,8,Darren Sproles,PHI,RB,Knee,Questionable
2014,9,Ryan Mathews,SDG,RB,Knee,Out
2014,10,Marshawn Lynch,SEA,RB,Calf,Probable
2014,12,Chris Johnson,NYJ,RB,Knee,Probable
2014,13,Matt Asiata,MIN,RB,Concussion,Probable
2014,13,Leon Washington,TEN,RB,Hamstring,Probable
2014,14,Montee Ball,DEN,RB,Groin,Out
2014,14,Jonathan Grimes,HOU,RB,Ankle,Probable
2014,15,Jerome Felton,MIN,RB,Neck,Probable
2014,15,Roy Helu,WAS,RB,Toe,Out
2014,16,Eddie Lacy,GNB,RB,Eye,Probable
2014,16,Carlos Hyde,SFO,RB,Ankle,Out
2014,16,Frank Gore,SFO,RB,Concussion,Questionable
2014,17,Jamaal Charles,KAN,RB,"Hamstring, Ankle",Questionable
2015,2,Tre Mason,STL,RB,Thigh,Questionable
2015,3,Lorenzo Taliaferro,BAL,RB,Foot,Questionable
2015,3,Arian Foster,HOU,RB,Groin,Out
2015,3,DeMarco Murray,PHI,RB,Hamstring,Questionable
2015,3,Marshawn Lynch,SEA,RB,Calf,Questionable
2015,4,Robert Turbin,CLE,RB,Ankle,Out
2015,4,Aaron Ripkowski,GNB,RB,Shoulder,Probable
2015,4,Doug Martin,TAM,RB,"Knee, Quadricep",Questionable
2015,6,Shaun Draughn,CLE,RB,Back,Questionable
2015,7,Bilal Powell,NYJ,RB,Ankle,Out
2015,8,Juwan Thompson,DEN,RB,Hamstring,Probable
2015,8,Carlos Hyde,SFO,RB,Foot,Out
2015,9,Stevan Ridley,NYJ,RB,Knee,Probable
2015,9,Ryan Mathews,PHI,RB,Groin,Questionable
2015,9,Chris Thompson,WAS,RB,Back,Probable
2015,11,Fozzy Whittaker,CAR,RB,Hip,Probable
2015,12,Darren McFadden,DAL,RB,Groin,Probable
2015,12,Marshawn Lynch,SEA,RB,Abdomen,Out
2015,13,Toby Gerhart,JAX,RB,Groin,Out
2015,13,Jay Ajayi,MIA,RB,Shoulder,Probable
2015,15,Karlos Williams,BUF,RB,Shoulder,Questionable
2015,15,Spencer Ware,KAN,RB,Rib,Questionable
2015,16,Anthony Dixon,BUF,RB,Knee,Probable
2015,17,LeSean McCoy,BUF,RB,Knee,Out
2015,17,Glenn Winston,CLE,RB,Concussion,Out
2015,17,Ameer Abdullah,DET,RB,Shoulder,Questionable
2016,2,Stepfan Taylor,ARI,RB,Knee,Questionable
2016,2,Arian Foster,MIA,RB,Hamstring,Questionable
2016,4,Jeremy Langford,CHI,RB,Ankle,Doubtful
2016,6,Arian Foster,MIA,RB,Hamstring,Questionable
2016,6,LeGarrette Blount,NWE,RB,Hip,Questionable
2016,6,Taiwan Jones,OAK,RB,Knee,Questionable
2016,7,DeAngelo Williams,PIT,RB,Knee,Out
2016,8,LeSean McCoy,BUF,RB,Hamstring,Doubtful
2016,9,Daniel Lasco,NOR,RB,Hamstring,Out
2016,10,James Starks,GNB,RB,Knee,Questionable
2016,11,Orleans Darkwa,NYG,RB,Lower Leg,Questionable
2016,13,Andy Janovich,DEN,RB,Ankle,Out
2016,13,Daniel Lasco,NOR,RB,Hamstring,Out
2016,14,Mark Ingram,NOR,RB,"Toe, Knee",Questionable
2016,15,Darren Sproles,PHI,RB,Concussion,Out
2016,16,James Starks,GNB,RB,Concussion,Out
2016,17,Matt Forte,NYJ,RB,Knee,Out
2017,1,Alfred Blue,HOU,RB,Ankle,Out
2017,3,Dwayne Washington,DET,RB,Quadricep,Out
2017,4,Rob Kelley,WAS,RB,Rib,Questionable
2017,5,Ty Montgomery,GNB,RB,Ribs,Doubtful
2017,6,Dwayne Washington,DET,RB,Quadricep,Questionable
2017,6,Kyle Juszczyk,SFO,RB,Back,Out
2017,7,Leonard Fournette,JAX,RB,Ankle,Questionable
2017,7,Melvin Gordon,LAC,RB,Shoulder,Questionable
2017,7,Wendell Smallwood,PHI,RB,Knee,Questionable
2017,7,C.J. Prosise,SEA,RB,Ankle,Questionable
2017,8,Terrance West,BAL,RB,Calf,Out
2017,9,Fozzy Whittaker,CAR,RB,Ankle,Questionable
2017,9,Matt Jones,IND,RB,Ankle,Out
2017,9,C.J. Prosise,SEA,RB,Ankle,Questionable
2017,11,Senorise Perry,MIA,RB,Knee,Questionable
2017,12,Raheem Mostert,SFO,RB,Shoulder,Questionable
