Date,Team,Acq,Rel,Notes,Acquired,Relinquished
11/10/1994,Cowboys,,• Michael Irvin,"fined $12,000 by NFL for fighting",#VALUE!,Michael Irvin
11/10/1994,Giants,,• Jarvis Williams,"fined $8,000 by NFL for fighting",#VALUE!,Jarvis Williams
11/10/1994,Giants,,• Jesse Campbell,"fined $8,000 by NFL for fighting",#VALUE!,Jesse Campbell
11/16/1994,Falcons,,• Andre Rison,suspended,#VALUE!,Andre Rison
11/21/1994,Falcons,• Andre Rison,,reinstated from suspension,Andre Rison,#VALUE!
12/22/1994,Vikings,,• John Randle,"fined $5,000 by NFL for bumping official during game",#VALUE!,John Randle
7/24/1995,Eagles,,• Bernard Williams,suspended by NFL for 6 games for violating the league's substance abuse policy,#VALUE!,Bernard Williams
8/11/1995,Raiders,,• Alberto White,suspended,#VALUE!,Alberto White
8/12/1995,Browns,,• Larry Webster Jr.,suspended by NFL for 2 games for violating the league's substance abuse policy,#VALUE!,Larry Webster Jr.
8/12/1995,Cardinals,,• Jamir Miller,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Jamir Miller
8/12/1995,Falcons,,• Anthony Phillips (Dwayne),suspended for 1 games for drunk driving arrest,#VALUE!,Anthony Phillips (Dwayne)
8/18/1995,Raiders,• Alberto White,,reinstated from suspension,Alberto White,#VALUE!
8/25/1995,Cardinals,,• Chuck Levy,suspended indefinitely,#VALUE!,Chuck Levy
8/27/1995,Cardinals,,• Jamir Miller,suspended indefinitely,#VALUE!,Jamir Miller
8/29/1995,49ers,,• Tim Harris (David),suspended indefinitely,#VALUE!,Tim Harris (David)
9/25/1995,Cardinals,• Jamir Miller,,reinstated from suspension,Jamir Miller,#VALUE!
10/9/1995,Browns,• Larry Webster Jr.,,reinstated from suspension,Larry Webster Jr.,#VALUE!
10/9/1995,Eagles,• Bernard Williams,,reinstated from suspension,Bernard Williams,#VALUE!
10/16/1995,49ers,• Tim Harris (David),,reinstated from suspension,Tim Harris (David),#VALUE!
10/23/1995,Eagles,,• Bernard Williams,suspended by NFL for the remainder of the season for violating the league's substance abuse policy,#VALUE!,Bernard Williams
10/23/1995,Steelers,,• Joel Steed,placed on reserve/indefinite suspension,#VALUE!,Joel Steed
11/4/1995,Cowboys,,• Clayton Holmes,suspended indefinitely,#VALUE!,Clayton Holmes
11/4/1995,Cowboys,,• Leon Lett,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Leon Lett
11/17/1995,Broncos,,• Mike Lodish,"fined $8,000 by NFL for late hit on quarterback",#VALUE!,Mike Lodish
11/17/1995,Eagles,,• Mike Mamula,"fined $8,000 by NFL",#VALUE!,Mike Mamula
11/20/1995,Steelers,• Joel Steed,,reinstated from suspension,Joel Steed,#VALUE!
11/24/1995,Cowboys,• Leon Lett,,reinstated from suspension,Leon Lett,#VALUE!
12/5/1995,Jets,,• Carlton Haselrig,suspended indefinitely (date approximate),#VALUE!,Carlton Haselrig
12/12/1995,Bengals,,• Carl Pickens,"fined $5,000 by NFL for fighting",#VALUE!,Carl Pickens
