Date,Team,Acq,Rel,Notes,Acquired,Relinquished
9/21/2012,Giants,,• David Baas,"fined $7,875 by NFL for actions after kneel-down play",#VALUE!,David Baas
9/21/2012,Giants,,• Kenny Phillips,fined $30K by NFL for hit on opposing player,#VALUE!,Kenny Phillips
9/21/2012,Giants,,• Kevin Boothe,"fined $7,875 by NFL for actions after kneel-down play",#VALUE!,Kevin Boothe
9/21/2012,Jets,,• LaRon Landry,"fined $15,750 by NFL for horse collar tackle",#VALUE!,LaRon Landry
9/21/2012,Lions,,• John Wendling,"fined $7,875 for hit on opposing player",#VALUE!,John Wendling
9/21/2012,Patriots,,• Jerod Mayo,"fined $21,000 by NFL for hitting defenseless player in head or neck area",#VALUE!,Jerod Mayo
9/21/2012,Patriots,,• Steve Gregory,"fined $7,875 by NFL for late hit on opposing player",#VALUE!,Steve Gregory
9/21/2012,Rams,,• Janoris Jenkins,"fined $15,750 by NFL for helmet-to-helmet hit on opposing player",#VALUE!,Janoris Jenkins
9/21/2012,Ravens,,• Cary Williams,"fined $10,000 by NFL for grabbing opposing player's facemask",#VALUE!,Cary Williams
9/21/2012,Ravens,,• Marshal Yanda,"fined $7,875 by NFL for late hit away from play on opposing player",#VALUE!,Marshal Yanda
9/21/2012,Ravens,,• Ray Rice,"fined $7,875 by NFL for late hit on opposing player",#VALUE!,Ray Rice
9/21/2012,Redskins,,• Josh Morgan,"fined $7,875 by NFL for throwing ball at opposing player",#VALUE!,Josh Morgan
9/21/2012,Redskins,,• Lorenzo Alexander,"fined $15,750 by NFL for horse collar tackle",#VALUE!,Lorenzo Alexander
9/21/2012,Seahawks,,• Golden Tate (III),"fined $21,000 by NFL",#VALUE!,Golden Tate (III)
9/21/2012,Steelers,,• Lawrence Timmons,fined $21K by NFL for helmet-to-helmet hit on opposing player,#VALUE!,Lawrence Timmons
9/21/2012,Vikings,,• Jasper Brinkley,"fined $7,875 by NFL for ripping off opponents helmet during scuffle",#VALUE!,Jasper Brinkley
9/21/2012,Vikings,,• Matt Kalil,"fined $7,875 for late hit on opposing player",#VALUE!,Matt Kalil
9/24/2012,Broncos,,• John Fox,"fined as head coach $30,000 by NFL",#VALUE!,John Fox
9/24/2012,Ravens,• Ryan McBean,,reinstated from suspension,Ryan McBean,#VALUE!
9/24/2012,Saints,• Ramon Humber,,reinstated from suspension,Ramon Humber,#VALUE!
9/24/2012,Vikings,• Jerome Simpson,,reinstated from suspension,Jerome Simpson,#VALUE!
9/25/2012,Broncos,,• Joe Mays,"suspended by NFL for 1 games and fined $50,000 for violating player safety rules",#VALUE!,Joe Mays
9/25/2012,Broncos,,• Joe Mays,placed on reserve/suspended list,#VALUE!,Joe Mays
9/26/2012,Patriots,,• Bill Belichick,"fined $50,000 by NFL for making contact with official",#VALUE!,Bill Belichick
9/26/2012,Steelers,,• Ryan Mundy,"fined $21,000 by NFL",#VALUE!,Ryan Mundy
9/28/2012,Bengals,,• Adam Jones / Pacman Jones,"fined $15,750 by NFL",#VALUE!,Adam Jones / Pacman Jones
9/28/2012,Bengals,,• Terence Newman,"fined $10,000 by NFL",#VALUE!,Terence Newman
9/28/2012,Broncos,,• Von Miller,"fined $15,750 by NFL",#VALUE!,Von Miller
9/28/2012,Eagles,,• Dominique Rodgers-Cromartie,"fined $7,875 by NFL",#VALUE!,Dominique Rodgers-Cromartie
9/28/2012,Eagles,,• Jason Babin,"fined $15,750 by NFL",#VALUE!,Jason Babin
9/28/2012,Lions,,• Stephen Tulloch,"fined $21,000 by NFL",#VALUE!,Stephen Tulloch
9/28/2012,Ravens,,• Ed Reed,"fined $21,000 by NFL",#VALUE!,Ed Reed
9/28/2012,Seahawks,,• Brandon Browner,"fined $7,875 by NFL",#VALUE!,Brandon Browner
9/28/2012,Titans,,• Leroy Harris Jr. (b. 1984-06-06),"fined $10,000 by NFL",#VALUE!,Leroy Harris Jr. (b. 1984-06-06)
9/28/2012,Titans,,• Scott Solomon,"fined $15,750 by NFL",#VALUE!,Scott Solomon
10/1/2012,Broncos,• Joe Mays,,reinstated from suspension,Joe Mays,#VALUE!
10/1/2012,Cardinals,,• Quentin Groves,"fined $15,750 by NFL (date approximate)",#VALUE!,Quentin Groves
10/1/2012,Bengals,• Dontay Moch,,reinstated from suspension,Dontay Moch,#VALUE!
10/1/2012,Broncos,• Virgil Green,,reinstated from suspension,Virgil Green,#VALUE!
10/1/2012,Giants,• Tyler Sash,,reinstated from suspension,Tyler Sash,#VALUE!
10/1/2012,Packers,• Mike Neal,,reinstated from suspension,Mike Neal,#VALUE!
10/1/2012,Panthers,• Andre Neblett,,reinstated from suspension,Andre Neblett,#VALUE!
10/1/2012,Seahawks,• Allen Barbre,,reinstated from suspension,Allen Barbre,#VALUE!
10/5/2012,,,• Thomas Clayton,suspended by NFL for 4 games,#VALUE!,Thomas Clayton
10/5/2012,Bills,,• Kyle Williams (Derrick),"fined $15,750 by NFL",#VALUE!,Kyle Williams (Derrick)
10/5/2012,Broncos,,• Genos Williams / D.J. Williams,suspended by NFL for additional 3 games,#VALUE!,Genos Williams / D.J. Williams
10/5/2012,Cardinals,,• Jay Feely,"fined $7,875 by NFL",#VALUE!,Jay Feely
10/5/2012,Packers,,• B.J. Raji,"fined $7,875 by NFL",#VALUE!,B.J. Raji
10/5/2012,Panthers,,• Charles Johnson (David) (b. 1986-07-10),"fined $7,875 by NFL",#VALUE!,Charles Johnson (David) (b. 1986-07-10)
10/5/2012,Patriots,,• Brandon Spikes,"fined $21,000 by NFL",#VALUE!,Brandon Spikes
10/5/2012,Saints,,• Malcolm Jenkins,"fined $7,875 by NFL",#VALUE!,Malcolm Jenkins
10/5/2012,Titans,,• David Stewart,"fined $7,875 by NFL",#VALUE!,David Stewart
10/5/2012,Vikings,,• Chad Greenway,"fined $21,000 by NFL",#VALUE!,Chad Greenway
10/8/2012,Giants,,• Will Hill III,suspended by NFL for 4 games for violation of the league policy on performance enhancing drugs,#VALUE!,Will Hill III
10/8/2012,Giants,• Tyler Sash,,reinstated from suspension,Tyler Sash,#VALUE!
10/8/2012,49ers,• Clark Haggans,,reinstated from suspension,Clark Haggans,#VALUE!
10/8/2012,Browns,• Joe Haden,,reinstated from suspension,Joe Haden,#VALUE!
10/8/2012,Steelers,• Weslye Saunders,,reinstated from suspension,Weslye Saunders,#VALUE!
10/9/2012,,,• Anthony Hargrove,earlier suspension reduced by NFL from 8 games to 7 games,#VALUE!,Anthony Hargrove
10/9/2012,Browns,,• Scott Fujita,earlier suspension reduced by NFL from 3 games to 1 games,#VALUE!,Scott Fujita
10/9/2012,Saints,,• Jonathan Vilma,suspended by NFL for rest of 2012 season for conduct detrimental to league,#VALUE!,Jonathan Vilma
10/9/2012,Saints,,• Will Smith (a),suspended by NFL for 4 games for conduct detrimental to league,#VALUE!,Will Smith (a)
10/10/2012,Packers,,• Nick Perry (Joel),"fined $15,000 by NFL",#VALUE!,Nick Perry (Joel)
10/10/2012,Titans,,• Michael Griffin (Devin),"fined $21,000 by NFL",#VALUE!,Michael Griffin (Devin)
10/12/2012,Cardinals,,• Larry Fitzgerald,"fined $7,875 by NFL",#VALUE!,Larry Fitzgerald
10/12/2012,Chargers,,• Melvin Ingram,"fined $15,750 by NFL",#VALUE!,Melvin Ingram
10/12/2012,Colts,,• Cory Redding,"fined $7,875 by NFL",#VALUE!,Cory Redding
10/12/2012,Jets,,• Matt Slauson,"fined $10,000 by NFL",#VALUE!,Matt Slauson
10/12/2012,Packers,,• Nick Perry (Joel),"fined $15,750 by NFL",#VALUE!,Nick Perry (Joel)
10/12/2012,Rams,,• Jermelle Cudjo,"fined $7,875 by NFL",#VALUE!,Jermelle Cudjo
10/12/2012,Rams,,• Robert Quinn,"fined $15,750 by NFL",#VALUE!,Robert Quinn
10/12/2012,Seahawks,,• Chris Clemons (b. 1981-10-30),"fined $15,750 by NFL",#VALUE!,Chris Clemons (b. 1981-10-30)
10/12/2012,Titans,,• Sen'Derrick Marks,"fined $7,875 by NFL",#VALUE!,Sen'Derrick Marks
10/13/2012,Buccaneers,,• Aqib Talib,suspended by NFL for 4 games for violating the league policy on performance enhancing drugs,#VALUE!,Aqib Talib
10/15/2012,Broncos,• Genos Williams / D.J. Williams,,reinstated from suspension,Genos Williams / D.J. Williams,#VALUE!
10/15/2012,Cardinals,• Gerell Robinson,,reinstated from suspension,Gerell Robinson,#VALUE!
10/15/2012,Broncos,,• Genos Williams / D.J. Williams,suspended by NFL for 3 games,#VALUE!,Genos Williams / D.J. Williams
10/16/2012,Steelers,,• Alameda Ta'amu,suspended by team for 2 games for conduct detrimental to team,#VALUE!,Alameda Ta'amu
10/19/2012,,,• Alex Daniels,suspended by NFL,#VALUE!,Alex Daniels
10/19/2012,Jets,,• Aaron Maybin,"fined $7,875 by NFL",#VALUE!,Aaron Maybin
10/19/2012,Jets,,• Quinton Coples,"fined $10,000 by NFL",#VALUE!,Quinton Coples
10/19/2012,Lions,,• Lawrence Jackson,"fined $15,750 by NFL",#VALUE!,Lawrence Jackson
10/19/2012,Lions,,• Nate Burleson,"fined $10,500K by NFL",#VALUE!,Nate Burleson
10/19/2012,Vikings,,• Harrison Smith (J.),"fined $15,750 by NFL",#VALUE!,Harrison Smith (J.)
10/20/2012,,,• Donald Washington,suspended by NFL for 3 games for violating the league's personal conduct policy,#VALUE!,Donald Washington
10/23/2012,Giants,• Janzen Jackson,,reinstated from suspension,Janzen Jackson,#VALUE!
10/23/2012,Rams,• Todd Anderson (b),,reinstated from suspension,Todd Anderson (b),#VALUE!
10/26/2012,49ers,,• Dashon Goldson,"fined $7,875 by NFL",#VALUE!,Dashon Goldson
10/26/2012,Bears,,• Brandon Marshall (Tyrone),"fined $10,500 by NFL",#VALUE!,Brandon Marshall (Tyrone)
10/26/2012,Bears,,• Earl Bennett (Bryan),"fined $10,500 by NFL",#VALUE!,Earl Bennett (Bryan)
10/26/2012,Browns,,• D'Qwell Jackson,"fined $7,875 by NFL",#VALUE!,D'Qwell Jackson
10/26/2012,Cardinals,,• Rashad Johnson,"fined $21,000 by NFL",#VALUE!,Rashad Johnson
10/26/2012,Lions,,• Alphonso Smith,"fined $15,750 by NFL",#VALUE!,Alphonso Smith
10/26/2012,Panthers,,• Charles Godfrey,"fined $7,875 by NFL",#VALUE!,Charles Godfrey
10/26/2012,Ravens,,• Bernard Pollard,"fined $7,875 by NFL",#VALUE!,Bernard Pollard
10/26/2012,Redskins,,• Tyler Polumbus,"fined $7,875 by NFL",#VALUE!,Tyler Polumbus
10/27/2012,,,• Bront Bird,suspended by NFL,#VALUE!,Bront Bird
10/27/2012,Panthers,,• Lee Ziemba,suspended by NFL for 4 games,#VALUE!,Lee Ziemba
10/29/2012,Steelers,• Alameda Ta'amu,,reinstated from suspension,Alameda Ta'amu,#VALUE!
11/2/2012,,,• Lorenzo Washington,suspended by NFL,#VALUE!,Lorenzo Washington
11/2/2012,Bears,,• Chris Conte,"fined $21,000 by NFL for hit to head of defenseless receiver",#VALUE!,Chris Conte
11/2/2012,Buccaneers,,• Donald Penn,"fined $7,875 by NFL",#VALUE!,Donald Penn
11/2/2012,Dolphins,,• Jonathan Martin (Augustus),"fined $10,000 by NFL",#VALUE!,Jonathan Martin (Augustus)
11/2/2012,Giants,,• Chris Canty (Lee),"fined $15,750 by NFL",#VALUE!,Chris Canty (Lee)
11/2/2012,Jets,,• Marcus Dowtin,"fined $15,750 by NFL",#VALUE!,Marcus Dowtin
11/2/2012,Raiders,,• Richard Seymour,"fined $15,750 by NFL",#VALUE!,Richard Seymour
11/2/2012,Titans,,• Mike Martin (Brendan),"fined $15,750 by NFL",#VALUE!,Mike Martin (Brendan)
11/2/2012,Vikings,,• Jared Allen (Scot),"fined $7,875 by NFL",#VALUE!,Jared Allen (Scot)
11/5/2012,Giants,• Will Hill III,,reinstated from suspension,Will Hill III,#VALUE!
11/6/2012,,• Donald Washington,,reinstated from suspension,Donald Washington,#VALUE!
11/9/2012,Colts,,• Cassius Vaughn,"fined $7,875 by NFL",#VALUE!,Cassius Vaughn
11/9/2012,Eagles,,• Michael Vick / Mike Vick,"fined $7,875 by NFL",#VALUE!,Michael Vick / Mike Vick
11/9/2012,Packers,,• Ryan Taylor (Lawrence),"fined $21,000 by NFL",#VALUE!,Ryan Taylor (Lawrence)
11/9/2012,Panthers,,• Greg Hardy,"fined $15,750 by NFL",#VALUE!,Greg Hardy
11/9/2012,Panthers,,• Haruki Nakamura,"fined $21,000 by NFL",#VALUE!,Haruki Nakamura
11/9/2012,Raiders,,• Tyvon Branch,"fined $15,750 by NFL",#VALUE!,Tyvon Branch
11/9/2012,Ravens,,• Dannell Ellerbe,"fined $10,000 by NFL",#VALUE!,Dannell Ellerbe
11/9/2012,Steelers,,• Emmanuel Sanders,"fined $15,000 by NFL",#VALUE!,Emmanuel Sanders
11/9/2012,Steelers,,• Will Allen (b. 1982-06-17),"fined $7,875 by NFL",#VALUE!,Will Allen (b. 1982-06-17)
11/9/2012,Titans,,• Matt Hasselbeck,"fined $15,750 by NFL",#VALUE!,Matt Hasselbeck
11/9/2012,Titans,,• Michael Griffin (Devin),"fined $20,000 by NFL",#VALUE!,Michael Griffin (Devin)
11/9/2012,Patriots,,• Brandon Bolden,suspended by NFL for 4 games for violating the league policy on performance enhancing drugs,#VALUE!,Brandon Bolden
11/12/2012,Broncos,• Genos Williams / D.J. Williams,,reinstated from suspension,Genos Williams / D.J. Williams,#VALUE!
11/12/2012,Patriots,• Aqib Talib,,reinstated from suspension,Aqib Talib,#VALUE!
11/13/2012,,• Alex Daniels,,reinstated from suspension,Alex Daniels,#VALUE!
11/16/2012,49ers,,• Ray McDonald (Antoine),"fined $21,000 by NFL",#VALUE!,Ray McDonald (Antoine)
11/16/2012,Bengals,,• Rey Maualuga,"fined $15,750 by NFL",#VALUE!,Rey Maualuga
11/16/2012,Broncos,,• Kevin Vickerson,"fined $15,000 by NFL",#VALUE!,Kevin Vickerson
11/16/2012,Broncos,,• Von Miller,"fined $21,000 by NFL",#VALUE!,Von Miller
11/16/2012,Colts,,• Jerry Hughes,"fined $21,000 by NFL",#VALUE!,Jerry Hughes
11/16/2012,Dolphins,,• Richie Incognito,"fined $10,000 by NFL",#VALUE!,Richie Incognito
11/16/2012,Jaguars,,• Dawan Landry,"fined $10,000 by NFL",#VALUE!,Dawan Landry
11/16/2012,Jaguars,,• Terrance Knighton,"fined $21,000 by NFL",#VALUE!,Terrance Knighton
11/16/2012,Lions,,• Ryan Broyles,"fined $10,000 by NFL",#VALUE!,Ryan Broyles
11/16/2012,Patriots,,• Alfonzo Dennard,"fined $7,875 by NFL",#VALUE!,Alfonzo Dennard
11/16/2012,Patriots,,• Brandon Spikes,"fined $25,000 by NFL",#VALUE!,Brandon Spikes
11/16/2012,Patriots,,• Jerod Mayo,"fined $10,000 by NFL",#VALUE!,Jerod Mayo
11/16/2012,Raiders,,• Aaron Curry,"fined $23,625 by NFL",#VALUE!,Aaron Curry
11/16/2012,Redskins,,• DeAngelo Hall,"fined $30,000 by NFL",#VALUE!,DeAngelo Hall
11/16/2012,Texans,,• Tim Dobbins,"fined $30,000 by NFL",#VALUE!,Tim Dobbins
11/16/2012,Vikings,,• Jasper Brinkley,"fined $21,000 by NFL",#VALUE!,Jasper Brinkley
11/19/2012,Panthers,• Lee Ziemba,,reinstated from suspension,Lee Ziemba,#VALUE!
11/19/2012,Ravens,,• Ed Reed,"fined $50,000 by NFL for helmet-to-helmet hit",#VALUE!,Ed Reed
11/19/2012,Falcons,,• Joe Hawley,suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs,#VALUE!,Joe Hawley
11/19/2012,Falcons,,• Joe Hawley,placed on reserve/suspended list,#VALUE!,Joe Hawley
11/20/2012,,• Brett Hartmann,,reinstated from suspension,Brett Hartmann,#VALUE!
11/20/2012,,• Bront Bird,,reinstated from suspension,Bront Bird,#VALUE!
11/20/2012,Seahawks,,• Winston Guy Jr.,suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs,#VALUE!,Winston Guy Jr.
11/20/2012,Seahawks,,• Winston Guy Jr.,placed on reserve/suspended list,#VALUE!,Winston Guy Jr.
11/22/2012,,,• Jabar Gaffney,suspended by NFL for 2 games,#VALUE!,Jabar Gaffney
11/22/2012,Lions,,• Titus Young,disciplinary reasons (out),#VALUE!,Titus Young
11/23/2012,Browns,,• T.J. Ward,"fined $25,000 by NFL",#VALUE!,T.J. Ward
11/23/2012,Buccaneers,,• Ted Larsen,"fined $7,875 by NFL",#VALUE!,Ted Larsen
11/23/2012,Jaguars,,• Dawan Landry,"fined $21,000 by NFL",#VALUE!,Dawan Landry
11/23/2012,Jets,,• Garrett McIntyre,"fined $15,750 by NFL",#VALUE!,Garrett McIntyre
11/23/2012,Packers,,• Brad Jones (Edward),"fined $15,750 by NFL",#VALUE!,Brad Jones (Edward)
11/23/2012,Panthers,,• Thomas Davis,"fined $21,000 by NFL",#VALUE!,Thomas Davis
11/23/2012,Patriots,,• Kyle Arrington,"fined $21,000 by NFL",#VALUE!,Kyle Arrington
11/26/2012,Buccaneers,,• Eric Wright,suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs,#VALUE!,Eric Wright
11/26/2012,Patriots,,• Jermaine Cunningham,suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs,#VALUE!,Jermaine Cunningham
11/26/2012,Buccaneers,,• Eric Wright,placed on reserve/suspended list,#VALUE!,Eric Wright
11/26/2012,Patriots,,• Jermaine Cunningham,placed on reserve/suspended list,#VALUE!,Jermaine Cunningham
11/27/2012,,• Lorenzo Washington,,reinstated from suspension,Lorenzo Washington,#VALUE!
11/28/2012,Lions,,• Ndamukong Suh,"fined $30,000 by NFL for kicking opposing player in groin",#VALUE!,Ndamukong Suh
11/29/2012,Cowboys,,• Mike Jenkins (b. 1985-03-22),"fined $7,875 by NFL",#VALUE!,Mike Jenkins (b. 1985-03-22)
11/30/2012,Bears,,• Brian Urlacher,"fined $15,750 by NFL",#VALUE!,Brian Urlacher
11/30/2012,Bears,,• Eric Weems,"fined $7,875 by NFL",#VALUE!,Eric Weems
11/30/2012,Bears,,• Henry Melton,"fined $7,875 by NFL",#VALUE!,Henry Melton
11/30/2012,Bears,,• Jay Cutler,"fined $10,000 by NFL for flipping ball at opposing player",#VALUE!,Jay Cutler
11/30/2012,Bengals,,• Andrew Whitworth,"fined $26,250 by NFL",#VALUE!,Andrew Whitworth
11/30/2012,Chiefs,,• Donald Stephenson,"fined $15,750 by NFL",#VALUE!,Donald Stephenson
11/30/2012,Lions,,• Stefan Logan,"fined $7,875 by NFL",#VALUE!,Stefan Logan
11/30/2012,Packers,,• Jerron McMillian,"fined $21,000 by NFL",#VALUE!,Jerron McMillian
11/30/2012,Panthers,,• Mike Tolbert,"fined $21,000 by NFL",#VALUE!,Mike Tolbert
11/30/2012,Raiders,,• Desmond Bryant,"fined $26,250 by NFL",#VALUE!,Desmond Bryant
11/30/2012,Raiders,,• Lamarr Houston,"fined $26,250 by NFL",#VALUE!,Lamarr Houston
11/30/2012,Raiders,,• Matt Shaughnessy,"fined $26,250 by NFL",#VALUE!,Matt Shaughnessy
11/30/2012,Raiders,,• Tommy Kelly,"fined $26,260 by NFL",#VALUE!,Tommy Kelly
11/30/2012,Rams,,• Chris Long,"fined $15,750 by NFL",#VALUE!,Chris Long
11/30/2012,Ravens,,• Anquan Boldin,"fined $7,875 by NFL",#VALUE!,Anquan Boldin
11/30/2012,Redskins,,• DeAngelo Hall,"fined $35,750 by NFL",#VALUE!,DeAngelo Hall
11/30/2012,Saints,,• Brodrick Bunkley,"fined $20,000 by NFL",#VALUE!,Brodrick Bunkley
11/30/2012,Seahawks,,• Earl Thomas III,"fined $15,750 by NFL",#VALUE!,Earl Thomas III
11/30/2012,Texans,,• Brandon Harris (a),"fined $21,000 by NFL",#VALUE!,Brandon Harris (a)
11/30/2012,Texans,,• J.J. Watt,"fined $15,750 by NFL",#VALUE!,J.J. Watt
11/30/2012,Vikings,,• Jared Allen (Scot),"fined $21,000 by NFL",#VALUE!,Jared Allen (Scot)
12/2/2012,Raiders,,• Rolando McClain,suspended by team for 2 games for conduct detrimental to the team,#VALUE!,Rolando McClain
12/3/2012,Patriots,• Brandon Bolden,,reinstated from suspension,Brandon Bolden,#VALUE!
12/4/2012,,• Jabar Gaffney,,reinstated from suspension,Jabar Gaffney,#VALUE!
12/4/2012,Redskins,,• Cedric Griffin,suspended by NFL for 4 games for violating the league policy on performance enhancing drugs,#VALUE!,Cedric Griffin
12/4/2012,Redskins,,• Cedric Griffin,placed on reserve/suspended list,#VALUE!,Cedric Griffin
12/5/2012,Seahawks,,• Brandon Browner,suspended by NFL for 4 games for violating the league policy on performance enhancing drugs,#VALUE!,Brandon Browner
12/5/2012,Seahawks,,• Brandon Browner,placed on reserve/suspended list,#VALUE!,Brandon Browner
12/7/2012,49ers,,• Dashon Goldson,"fined $7,875 by NFL",#VALUE!,Dashon Goldson
12/7/2012,49ers,,• NaVorro Bowman,"fined $10,000 by NFL",#VALUE!,NaVorro Bowman
12/7/2012,Bears,,• Brian Urlacher,"fined $21,000 by NFL for horse collar tackle",#VALUE!,Brian Urlacher
12/7/2012,Broncos,,• Von Miller,"fined $25,000 by NFL",#VALUE!,Von Miller
12/7/2012,Giants,,• Tyler Sash,"fined $7,875 by NFL",#VALUE!,Tyler Sash
12/7/2012,Jaguars,,• Jason Babin,"fined $21,000 by NFL",#VALUE!,Jason Babin
12/7/2012,Lions,,• Nick Fairley,"fined $15,750 by NFL",#VALUE!,Nick Fairley
12/7/2012,Packers,,• Tramon Williams,"fined $21,000 by NFL",#VALUE!,Tramon Williams
12/7/2012,Ravens,,• Paul Kruger,"fined $5,250 by NFL",#VALUE!,Paul Kruger
12/7/2012,Redskins,,• Will Montgomery,"fined $10,000 by NFL",#VALUE!,Will Montgomery
12/7/2012,Vikings,,• Everson Griffen,"fined $15,750 by NFL",#VALUE!,Everson Griffen
12/7/2012,Vikings,,• Jasper Brinkley,"fined $7,875 by NFL",#VALUE!,Jasper Brinkley
12/10/2012,49ers,,• Brandon Jacobs,suspended by team for 3 games for conduct detrimental to team (posting a series of messages on social media sites addressing his lack of playing time),#VALUE!,Brandon Jacobs
12/10/2012,Raiders,• Rolando McClain,,reinstated from suspension,Rolando McClain,#VALUE!
12/11/2012,Browns,• Scott Fujita,,earlier 1 games suspension overturned by NFL,Scott Fujita,#VALUE!
12/11/2012,Packers,• Anthony Hargrove,,eariler 7 game suspension overturned by NFL,Anthony Hargrove,#VALUE!
12/11/2012,Saints,• Jonathan Vilma,,earlier 2012 season suspension overturned by NFL,Jonathan Vilma,#VALUE!
12/11/2012,Saints,• Will Smith (a),,earlier 4 game suspension overturned by NFL,Will Smith (a),#VALUE!
12/11/2012,Steelers,,• Rashard Mendenhall,suspended by team for 1 games for conduct detrimental to the team,#VALUE!,Rashard Mendenhall
12/11/2012,Ravens,,• Asa Jackson,suspended by NFL for 4 games for violating the league policy on performance enhancing drugs,#VALUE!,Asa Jackson
12/11/2012,Ravens,,• Asa Jackson,placed on reserve/suspended list,#VALUE!,Asa Jackson
12/14/2012,Bears,,• Charles Tillman,"fined $7,875 by NFL",#VALUE!,Charles Tillman
12/14/2012,Cowboys,,• Ernie Sims,"fined $15,750 by NFL",#VALUE!,Ernie Sims
12/14/2012,Giants,,• Prince Amukamara,"fined $15,750 by NFL",#VALUE!,Prince Amukamara
12/14/2012,Jets,,• Quinton Coples,"fined $15,000 by NFL",#VALUE!,Quinton Coples
12/14/2012,Lions,,• Gosder Cherilus,"fined $10,000 by NFL",#VALUE!,Gosder Cherilus
12/14/2012,Rams,,• Cortland Finnegan,"fined $10,000 by NFL",#VALUE!,Cortland Finnegan
12/17/2012,Falcons,• Joe Hawley,,reinstated from suspension,Joe Hawley,#VALUE!
12/17/2012,Redskins,,• Jordan Black,suspended by NFL for 4 games for violating the league policy on performance enhancing drugs,#VALUE!,Jordan Black
12/17/2012,Seahawks,• Winston Guy Jr.,,reinstated from suspension,Winston Guy Jr.,#VALUE!
12/17/2012,Steelers,• Rashard Mendenhall,,reinstated from suspension,Rashard Mendenhall,#VALUE!
12/17/2012,Redskins,,• Jordan Black,placed on reserve/suspended list,#VALUE!,Jordan Black
12/18/2012,Broncos,,• Quentin Saulsberry,suspended by NFL for 4 games for violating the league policy on performance enhancing drugs,#VALUE!,Quentin Saulsberry
12/21/2012,49ers,,• Dashon Goldson,"fined $21,000 by NFL",#VALUE!,Dashon Goldson
12/21/2012,Bears,,• Brandon Marshall (Tyrone),"fined $5,250 by NFL",#VALUE!,Brandon Marshall (Tyrone)
12/21/2012,Cowboys,,• DeMarcus Ware,"fined $15,750 by NFL",#VALUE!,DeMarcus Ware
12/21/2012,Falcons,,• Chris Hope,"fined $30,000 by NFL",#VALUE!,Chris Hope
12/21/2012,Falcons,,• Sharod White / Roddy White,"fined $7,875 by NFL",#VALUE!,Sharod White / Roddy White
12/21/2012,Giants,,• Corey Webster,"fined $7,875 by NFL",#VALUE!,Corey Webster
12/21/2012,Jets,,• Quinton Coples,"fined $15,750 by NFL",#VALUE!,Quinton Coples
12/21/2012,Ravens,,• Anquan Boldin,"fined $15,750 by NFL",#VALUE!,Anquan Boldin
12/21/2012,Ravens,,• Cary Williams,"fined $15,750 by NFL",#VALUE!,Cary Williams
12/21/2012,Texans,,• Antonio Smith (DeShonta),"fined $15,750 by NFL",#VALUE!,Antonio Smith (DeShonta)
12/21/2012,Titans,,• Jordan Babineaux,"fined $7,875 by NFL",#VALUE!,Jordan Babineaux
12/24/2012,Buccaneers,• Eric Wright,,reinstated from suspension,Eric Wright,#VALUE!
12/24/2012,Patriots,• Jermaine Cunningham,,reinstated from suspension,Jermaine Cunningham,#VALUE!
12/27/2012,Ravens,,• Ed Reed,"fined $55,000 by NFL",#VALUE!,Ed Reed
12/28/2012,49ers,,• Anthony Davis (Nathaniel),"fined $10,000 by NFL",#VALUE!,Anthony Davis (Nathaniel)
12/28/2012,Panthers,,• Cam Newton (Jerrell),"fined $31,000 by NFL",#VALUE!,Cam Newton (Jerrell)
12/28/2012,Panthers,,• Charles Godfrey,"fined $21,000 by NFL",#VALUE!,Charles Godfrey
12/28/2012,Panthers,,• Greg Hardy,"fined $25,000 by NFL",#VALUE!,Greg Hardy
12/28/2012,Patriots,,• Vince Wilfork,"fined $30,000 by NFL",#VALUE!,Vince Wilfork
12/28/2012,Ravens,,• Michael Oher,"fined $10,000 by NFL",#VALUE!,Michael Oher
12/28/2012,Texans,,• Danieal Manning,"fined $10,000 by NFL",#VALUE!,Danieal Manning
12/28/2012,Texans,,• Kareem Jackson,"fined $21,000 by NFL",#VALUE!,Kareem Jackson
12/28/2012,Titans,,• Sen'Derrick Marks,"fined $7,875 by NFL",#VALUE!,Sen'Derrick Marks
12/28/2012,Vikings,,• Matt Kalil,"fined $10,000 by NFL",#VALUE!,Matt Kalil
12/31/2012,Seahawks,• Brandon Browner,,reinstated from suspension,Brandon Browner,#VALUE!
12/31/2012,49ers,• Brandon Jacobs,,reinstated from suspension,Brandon Jacobs,#VALUE!
12/31/2012,Redskins,• Cedric Griffin,,reinstated from suspension,Cedric Griffin,#VALUE!
1/4/2013,49ers,,• Frank Gore (Sr.),"fined $10,500 by NFL",#VALUE!,Frank Gore (Sr.)
1/4/2013,49ers,,• Michael Crabtree,"fined $10,500 by NFL",#VALUE!,Michael Crabtree
1/4/2013,Browns,,• Phillip Taylor / Phil Taylor,"fined $7,875 by NFL",#VALUE!,Phillip Taylor / Phil Taylor
1/4/2013,Chargers,,• Takeo Spikes,"fined $7,875 by NFL",#VALUE!,Takeo Spikes
1/4/2013,Packers,,• Tramon Williams,"fined $7,875 by NFL",#VALUE!,Tramon Williams
